HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
-0.3355435,0.1705246,3.829103,-0.3391653,0.2363909,3.819676,-0.3572743,0.5657225,3.787724,-0.3195116,0.738525,3.685067,-0.4874689,0.4742852,3.776087,-0.5696266,0.2245767,3.740264,-0.5417793,-0.003553122,3.619024,-0.4997238,-0.07865454,3.608032,-0.2118786,0.5127033,3.826319,-0.06034798,0.2244488,3.881323,-0.03903629,-0.01728852,3.792946,-0.0358203,-0.08303346,3.759679,-0.3940972,0.09906373,3.826,-0.2355181,-0.486829,3.847007,-0.4472293,-0.2931817,3.951703,-0.4118821,-0.3910472,3.899614,-0.2700816,0.1163519,3.841412,-0.2323549,-0.4503693,3.83905,-0.2316438,-0.8199227,3.753317,-0.2524953,-0.8881652,3.705302,
-0.3355435,0.1705246,3.829103,-0.3391653,0.2363909,3.819676,-0.3572743,0.5657225,3.787724,-0.3195116,0.738525,3.685067,-0.4874689,0.4742852,3.776087,-0.5696266,0.2245767,3.740264,-0.5417793,-0.003553122,3.619024,-0.4997238,-0.07865454,3.608032,-0.2118786,0.5127033,3.826319,-0.06034798,0.2244488,3.881323,-0.03903629,-0.01728852,3.792946,-0.0358203,-0.08303346,3.759679,-0.3940972,0.09906373,3.826,-0.2355181,-0.486829,3.847007,-0.4472293,-0.2931817,3.951703,-0.4118821,-0.3910472,3.899614,-0.2700816,0.1163519,3.841412,-0.2323549,-0.4503693,3.83905,-0.2316438,-0.8199227,3.753317,-0.2524953,-0.8881652,3.705302,
-0.3233329,0.1725353,3.80216,-0.3235107,0.2368329,3.792982,-0.3170383,0.5559753,3.759026,-0.3056352,0.7191172,3.670928,-0.4882973,0.4716352,3.763428,-0.5945494,0.2684439,3.714993,-0.556263,0.05893575,3.614313,-0.5191213,-0.0329138,3.607851,-0.1781161,0.4892104,3.798641,-0.05423638,0.2092257,3.834157,-0.03807935,-0.01784725,3.785224,-0.03452321,-0.08660021,3.752702,-0.3906866,0.09732732,3.789607,-0.2564299,-0.4470326,3.808627,-0.433215,-0.3960799,3.993789,-0.3613575,-0.4155173,3.95159,-0.2557425,0.1089765,3.821122,-0.2318325,-0.4551112,3.826196,-0.2332498,-0.8181528,3.754149,-0.2500676,-0.8854604,3.70406,
-0.3233329,0.1725353,3.80216,-0.3235107,0.2368329,3.792982,-0.3170383,0.5559753,3.759026,-0.3056352,0.7191172,3.670928,-0.4882973,0.4716352,3.763428,-0.5945494,0.2684439,3.714993,-0.556263,0.05893575,3.614313,-0.5191213,-0.0329138,3.607851,-0.1781161,0.4892104,3.798641,-0.05423638,0.2092257,3.834157,-0.03807935,-0.01784725,3.785224,-0.03452321,-0.08660021,3.752702,-0.3906866,0.09732732,3.789607,-0.2564299,-0.4470326,3.808627,-0.433215,-0.3960799,3.993789,-0.3613575,-0.4155173,3.95159,-0.2557425,0.1089765,3.821122,-0.2318325,-0.4551112,3.826196,-0.2332498,-0.8181528,3.754149,-0.2500676,-0.8854604,3.70406,
-0.3159872,0.1821818,3.751547,-0.3155163,0.2454763,3.741558,-0.3131616,0.561949,3.706709,-0.2984159,0.7186508,3.631931,-0.4812788,0.4697711,3.692489,-0.5675375,0.2128858,3.672734,-0.5536804,-0.004244611,3.591288,-0.5230178,-0.09373502,3.567876,-0.1516536,0.4803587,3.754296,-0.05987698,0.2485639,3.79691,-0.02946424,-0.01952153,3.735384,-0.0351537,-0.1142504,3.713226,-0.3907187,0.1037298,3.74027,-0.2615286,-0.3707007,3.769521,-0.4381368,-0.4038973,3.956266,-0.3952299,-0.4714717,3.987856,-0.2431616,0.1085372,3.778577,-0.232786,-0.4471946,3.765106,-0.2334267,-0.8197614,3.698549,-0.2169857,-0.8735954,3.6144,
-0.3159872,0.1821818,3.751547,-0.3155163,0.2454763,3.741558,-0.3131616,0.561949,3.706709,-0.2984159,0.7186508,3.631931,-0.4812788,0.4697711,3.692489,-0.5675375,0.2128858,3.672734,-0.5536804,-0.004244611,3.591288,-0.5230178,-0.09373502,3.567876,-0.1516536,0.4803587,3.754296,-0.05987698,0.2485639,3.79691,-0.02946424,-0.01952153,3.735384,-0.0351537,-0.1142504,3.713226,-0.3907187,0.1037298,3.74027,-0.2615286,-0.3707007,3.769521,-0.4381368,-0.4038973,3.956266,-0.3952299,-0.4714717,3.987856,-0.2431616,0.1085372,3.778577,-0.232786,-0.4471946,3.765106,-0.2334267,-0.8197614,3.698549,-0.2169857,-0.8735954,3.6144,
-0.3085248,0.1726674,3.72015,-0.3076276,0.2368618,3.712237,-0.3036047,0.5571572,3.686395,-0.2821178,0.7249243,3.592667,-0.4777444,0.4703649,3.67572,-0.5610068,0.207844,3.664378,-0.5560358,-0.0109621,3.579754,-0.5363879,-0.1048619,3.569498,-0.1275364,0.4735188,3.705993,-0.045703,0.2198948,3.762976,-0.02646237,-0.01095762,3.663712,-0.03463112,-0.1062808,3.676168,-0.3876308,0.0933689,3.711545,-0.5161023,-0.3173812,3.767814,-0.4225325,-0.4433705,3.915902,-0.4157337,-0.4920187,3.836926,-0.2303075,0.0918285,3.733101,-0.2216054,-0.4450037,3.728325,-0.2321698,-0.8286137,3.694616,-0.225371,-0.8772619,3.61564,
-0.3085248,0.1726674,3.72015,-0.3076276,0.2368618,3.712237,-0.3036047,0.5571572,3.686395,-0.2821178,0.7249243,3.592667,-0.4777444,0.4703649,3.67572,-0.5610068,0.207844,3.664378,-0.5560358,-0.0109621,3.579754,-0.5363879,-0.1048619,3.569498,-0.1275364,0.4735188,3.705993,-0.045703,0.2198948,3.762976,-0.02646237,-0.01095762,3.663712,-0.03463112,-0.1062808,3.676168,-0.3876308,0.0933689,3.711545,-0.5161023,-0.3173812,3.767814,-0.4225325,-0.4433705,3.915902,-0.4157337,-0.4920187,3.836926,-0.2303075,0.0918285,3.733101,-0.2216054,-0.4450037,3.728325,-0.2321698,-0.8286137,3.694616,-0.225371,-0.8772619,3.61564,
-0.3067322,0.1677439,3.682192,-0.3045495,0.2329727,3.673386,-0.2932997,0.5594096,3.644509,-0.2738425,0.737238,3.556725,-0.4585367,0.4795847,3.636545,-0.5585775,0.2178347,3.635796,-0.5502609,-0.04272722,3.597941,-0.5303603,-0.1172966,3.573498,-0.1247824,0.4812195,3.688035,-0.03157821,0.2042891,3.70637,-0.02828557,-0.02733849,3.661395,-0.02963028,-0.1218669,3.643698,-0.3847424,0.08986285,3.671939,-0.4761056,-0.3050343,3.767462,-0.4286889,-0.5391307,3.894014,-0.415721,-0.5907207,3.811772,-0.2331113,0.09194236,3.704478,-0.2218794,-0.4129673,3.693363,-0.2285915,-0.7939753,3.70018,-0.2156236,-0.8455653,3.617937,
-0.3067322,0.1677439,3.682192,-0.3045495,0.2329727,3.673386,-0.2932997,0.5594096,3.644509,-0.2738425,0.737238,3.556725,-0.4585367,0.4795847,3.636545,-0.5585775,0.2178347,3.635796,-0.5502609,-0.04272722,3.597941,-0.5303603,-0.1172966,3.573498,-0.1247824,0.4812195,3.688035,-0.03157821,0.2042891,3.70637,-0.02828557,-0.02733849,3.661395,-0.02963028,-0.1218669,3.643698,-0.3847424,0.08986285,3.671939,-0.4761056,-0.3050343,3.767462,-0.4286889,-0.5391307,3.894014,-0.415721,-0.5907207,3.811772,-0.2331113,0.09194236,3.704478,-0.2218794,-0.4129673,3.693363,-0.2285915,-0.7939753,3.70018,-0.2156236,-0.8455653,3.617937,
