HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
-1.445681,-0.006239925,3.394161,-1.453799,0.06290194,3.386339,-1.494388,0.4086113,3.362647,-1.41004,0.609609,3.386623,-1.513307,0.2812981,3.258041,-1.480329,0.05606984,3.239043,-1.269639,-0.05811262,3.272375,-1.212541,-0.128867,3.298324,-1.457078,0.342079,3.526622,-1.450079,0.1637927,3.250724,-1.409016,-0.07113639,3.433119,-1.395329,-0.1494461,3.498122,-1.452622,-0.06854779,3.351039,-1.514108,-0.4541083,3.429038,-1.321866,-0.8589022,3.637798,-1.230748,-0.9035389,3.621454,-1.427319,-0.04119639,3.441715,-1.321245,-0.4528714,3.573825,-1.340747,-0.8305065,3.639793,-1.263063,-0.8988387,3.696928,
-1.445681,-0.006239925,3.394161,-1.453799,0.06290194,3.386339,-1.494388,0.4086113,3.362647,-1.41004,0.609609,3.386623,-1.513307,0.2812981,3.258041,-1.480329,0.05606984,3.239043,-1.269639,-0.05811262,3.272375,-1.212541,-0.128867,3.298324,-1.457078,0.342079,3.526622,-1.450079,0.1637927,3.250724,-1.409016,-0.07113639,3.433119,-1.395329,-0.1494461,3.498122,-1.452622,-0.06854779,3.351039,-1.514108,-0.4541083,3.429038,-1.321866,-0.8589022,3.637798,-1.230748,-0.9035389,3.621454,-1.427319,-0.04119639,3.441715,-1.321245,-0.4528714,3.573825,-1.340747,-0.8305065,3.639793,-1.263063,-0.8988387,3.696928,
-1.429019,-0.01612175,3.40117,-1.436641,0.05511008,3.394525,-1.470486,0.4116068,3.379785,-1.398699,0.5620809,3.398292,-1.470875,0.2773772,3.27762,-1.453093,0.1037318,3.194689,-1.253228,-0.02095007,3.261389,-1.190705,-0.03984456,3.269554,-1.414832,0.3286811,3.533992,-1.510132,0.3006989,3.344105,-1.335489,0.1245505,3.313732,-1.272941,0.06146456,3.307486,-1.436894,-0.07865551,3.354659,-1.506781,-0.4516015,3.430053,-1.587974,-0.8224084,3.500992,-1.502369,-0.8647701,3.485257,-1.409185,-0.05591314,3.450916,-1.287802,-0.4672997,3.571903,-1.257718,-0.8154142,3.621451,-1.164867,-0.8707952,3.647979,
-1.429019,-0.01612175,3.40117,-1.436641,0.05511008,3.394525,-1.470486,0.4116068,3.379785,-1.398699,0.5620809,3.398292,-1.470875,0.2773772,3.27762,-1.453093,0.1037318,3.194689,-1.253228,-0.02095007,3.261389,-1.190705,-0.03984456,3.269554,-1.414832,0.3286811,3.533992,-1.510132,0.3006989,3.344105,-1.335489,0.1245505,3.313732,-1.272941,0.06146456,3.307486,-1.436894,-0.07865551,3.354659,-1.506781,-0.4516015,3.430053,-1.587974,-0.8224084,3.500992,-1.502369,-0.8647701,3.485257,-1.409185,-0.05591314,3.450916,-1.287802,-0.4672997,3.571903,-1.257718,-0.8154142,3.621451,-1.164867,-0.8707952,3.647979,
-1.3796,-0.01868071,3.413104,-1.385548,0.04971869,3.405903,-1.415287,0.3917156,3.3855,-1.370868,0.5532524,3.376688,-1.424145,0.2545604,3.273265,-1.362841,0.1072717,3.209246,-1.188993,-0.01012142,3.269707,-1.101679,-0.03485537,3.288512,-1.347754,0.2960561,3.490581,-1.463091,0.3138451,3.349974,-1.310712,0.153474,3.316508,-1.244092,0.08904931,3.317049,-1.395361,-0.0793426,3.366286,-1.490144,-0.4599172,3.437829,-1.587415,-0.8197894,3.500008,-1.513707,-0.8586215,3.477015,-1.357945,-0.06071983,3.462714,-1.233842,-0.4603631,3.561631,-1.119806,-0.811689,3.585884,-1.046098,-0.8505211,3.562891,
-1.3796,-0.01868071,3.413104,-1.385548,0.04971869,3.405903,-1.415287,0.3917156,3.3855,-1.370868,0.5532524,3.376688,-1.424145,0.2545604,3.273265,-1.362841,0.1072717,3.209246,-1.188993,-0.01012142,3.269707,-1.101679,-0.03485537,3.288512,-1.347754,0.2960561,3.490581,-1.463091,0.3138451,3.349974,-1.310712,0.153474,3.316508,-1.244092,0.08904931,3.317049,-1.395361,-0.0793426,3.366286,-1.490144,-0.4599172,3.437829,-1.587415,-0.8197894,3.500008,-1.513707,-0.8586215,3.477015,-1.357945,-0.06071983,3.462714,-1.233842,-0.4603631,3.561631,-1.119806,-0.811689,3.585884,-1.046098,-0.8505211,3.562891,
-1.357124,-0.02213072,3.407781,-1.362085,0.04621517,3.399338,-1.385976,0.3878947,3.371432,-1.311988,0.5331472,3.364128,-1.408093,0.2528046,3.269989,-1.296788,0.1077327,3.223198,-1.114875,0.009650812,3.277168,-1.059012,-0.01609561,3.300767,-1.317875,0.3196015,3.494555,-1.432657,0.3376426,3.354259,-1.279858,0.1846763,3.32143,-1.238102,0.2214122,3.356748,-1.372174,-0.082647,3.369407,-1.461744,-0.4644154,3.442837,-1.585658,-0.8168977,3.497905,-1.515063,-0.8556263,3.472299,-1.332362,-0.05402099,3.449298,-1.213158,-0.4479235,3.55583,-1.058596,-0.8013835,3.59002,-0.9880014,-0.8401121,3.564415,
-1.357124,-0.02213072,3.407781,-1.362085,0.04621517,3.399338,-1.385976,0.3878947,3.371432,-1.311988,0.5331472,3.364128,-1.408093,0.2528046,3.269989,-1.296788,0.1077327,3.223198,-1.114875,0.009650812,3.277168,-1.059012,-0.01609561,3.300767,-1.317875,0.3196015,3.494555,-1.432657,0.3376426,3.354259,-1.279858,0.1846763,3.32143,-1.238102,0.2214122,3.356748,-1.372174,-0.082647,3.369407,-1.461744,-0.4644154,3.442837,-1.585658,-0.8168977,3.497905,-1.515063,-0.8556263,3.472299,-1.332362,-0.05402099,3.449298,-1.213158,-0.4479235,3.55583,-1.058596,-0.8013835,3.59002,-0.9880014,-0.8401121,3.564415,
-1.30369,-0.02042724,3.413923,-1.308939,0.04595574,3.401917,-1.335183,0.3778707,3.357289,-1.28621,0.5321492,3.377143,-1.357544,0.2508025,3.271336,-1.274517,0.1060538,3.223341,-1.078098,0.02355684,3.291824,-1.021762,0.009416984,3.32295,-1.296536,0.3226638,3.481091,-1.291071,0.1900502,3.271037,-1.108328,0.05753748,3.290149,-1.050034,0.04551201,3.318429,-1.315177,-0.08993185,3.371308,-1.442138,-0.4707568,3.444732,-1.589904,-0.8237412,3.505234,-1.519253,-0.8607976,3.487211,-1.283813,-0.05703294,3.468269,-1.139379,-0.4933423,3.558945,-1.015152,-0.8059627,3.599908,-0.9779239,-0.8627868,3.585131,
-1.30369,-0.02042724,3.413923,-1.308939,0.04595574,3.401917,-1.335183,0.3778707,3.357289,-1.28621,0.5321492,3.377143,-1.357544,0.2508025,3.271336,-1.274517,0.1060538,3.223341,-1.078098,0.02355684,3.291824,-1.021762,0.009416984,3.32295,-1.296536,0.3226638,3.481091,-1.291071,0.1900502,3.271037,-1.108328,0.05753748,3.290149,-1.050034,0.04551201,3.318429,-1.315177,-0.08993185,3.371308,-1.442138,-0.4707568,3.444732,-1.589904,-0.8237412,3.505234,-1.519253,-0.8607976,3.487211,-1.283813,-0.05703294,3.468269,-1.139379,-0.4933423,3.558945,-1.015152,-0.8059627,3.599908,-0.9779239,-0.8627868,3.585131,
