HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
0.9888472,-0.1759806,2.436294,0.9917991,-0.1053867,2.431867,1.006558,0.2475827,2.425272,0.9628299,0.4019313,2.424802,0.9456632,0.1320376,2.562603,0.9040189,-0.02691818,2.64308,0.7468839,-0.1404013,2.581092,0.6691518,-0.1900491,2.541988,1.022797,0.1114283,2.324765,1.110568,-0.1296871,2.26992,1.109042,-0.3408487,2.201654,1.109223,-0.4131856,2.185833,0.9695285,-0.2183,2.479535,0.9169475,-0.5870807,2.462295,1.201581,-0.8177093,2.541523,1.102149,-0.8641722,2.551998,1.004239,-0.2275742,2.392677,0.9622919,-0.5273429,2.396676,1.201402,-0.7822291,2.523111,1.105805,-0.8351899,2.53766,
0.9888472,-0.1759806,2.436294,0.9917991,-0.1053867,2.431867,1.006558,0.2475827,2.425272,0.9628299,0.4019313,2.424802,0.9456632,0.1320376,2.562603,0.9040189,-0.02691818,2.64308,0.7468839,-0.1404013,2.581092,0.6691518,-0.1900491,2.541988,1.022797,0.1114283,2.324765,1.110568,-0.1296871,2.26992,1.109042,-0.3408487,2.201654,1.109223,-0.4131856,2.185833,0.9695285,-0.2183,2.479535,0.9169475,-0.5870807,2.462295,1.201581,-0.8177093,2.541523,1.102149,-0.8641722,2.551998,1.004239,-0.2275742,2.392677,0.9622919,-0.5273429,2.396676,1.201402,-0.7822291,2.523111,1.105805,-0.8351899,2.53766,
0.939891,-0.1860666,2.422452,0.9437885,-0.1131081,2.420519,0.9689201,0.2511494,2.426512,0.9250358,0.4015087,2.429008,0.8933567,0.1145708,2.530467,0.8421928,-0.04477021,2.641021,0.6899067,-0.1582718,2.563718,0.6088843,-0.1987421,2.529252,0.9913008,0.1130775,2.320309,1.057072,-0.1475821,2.258149,1.044597,-0.3495429,2.193479,1.036794,-0.4195675,2.180604,0.9172853,-0.2297119,2.459786,0.8634985,-0.5907777,2.461781,0.8189151,-0.924241,2.541258,0.7416211,-0.9650075,2.510072,0.9596668,-0.2300928,2.382184,0.8194908,-0.6157928,2.496629,1.091321,-0.6858857,2.590291,1.016524,-0.7619665,2.591789,
0.939891,-0.1860666,2.422452,0.9437885,-0.1131081,2.420519,0.9689201,0.2511494,2.426512,0.9250358,0.4015087,2.429008,0.8933567,0.1145708,2.530467,0.8421928,-0.04477021,2.641021,0.6899067,-0.1582718,2.563718,0.6088843,-0.1987421,2.529252,0.9913008,0.1130775,2.320309,1.057072,-0.1475821,2.258149,1.044597,-0.3495429,2.193479,1.036794,-0.4195675,2.180604,0.9172853,-0.2297119,2.459786,0.8634985,-0.5907777,2.461781,0.8189151,-0.924241,2.541258,0.7416211,-0.9650075,2.510072,0.9596668,-0.2300928,2.382184,0.8194908,-0.6157928,2.496629,1.091321,-0.6858857,2.590291,1.016524,-0.7619665,2.591789,
0.8935868,-0.1753299,2.416975,0.9003862,-0.1038663,2.416644,0.9283385,0.2551335,2.429613,0.8815947,0.4151114,2.430173,0.8636087,0.1489324,2.534847,0.8091411,-0.05113876,2.60326,0.6466814,-0.1721292,2.570037,0.5619254,-0.2021747,2.541684,0.9313939,0.1188156,2.3209,1.002334,-0.1361197,2.254583,0.9935905,-0.3398717,2.191279,0.9812426,-0.4067425,2.176025,0.8759481,-0.2121032,2.454443,0.8488545,-0.6111512,2.480465,0.8074778,-0.9393551,2.54732,0.7268162,-0.978861,2.525458,0.9049541,-0.2254709,2.374325,0.7930593,-0.6378676,2.501621,1.045138,-0.722877,2.598282,0.973689,-0.801313,2.604885,
0.8935868,-0.1753299,2.416975,0.9003862,-0.1038663,2.416644,0.9283385,0.2551335,2.429613,0.8815947,0.4151114,2.430173,0.8636087,0.1489324,2.534847,0.8091411,-0.05113876,2.60326,0.6466814,-0.1721292,2.570037,0.5619254,-0.2021747,2.541684,0.9313939,0.1188156,2.3209,1.002334,-0.1361197,2.254583,0.9935905,-0.3398717,2.191279,0.9812426,-0.4067425,2.176025,0.8759481,-0.2121032,2.454443,0.8488545,-0.6111512,2.480465,0.8074778,-0.9393551,2.54732,0.7268162,-0.978861,2.525458,0.9049541,-0.2254709,2.374325,0.7930593,-0.6378676,2.501621,1.045138,-0.722877,2.598282,0.973689,-0.801313,2.604885,
0.8354909,-0.1769559,2.410929,0.8428452,-0.1040895,2.411081,0.8805513,0.2601444,2.427672,0.831858,0.4079196,2.434545,0.7915497,0.1008342,2.524766,0.7563169,-0.07246582,2.60043,0.5850239,-0.1766547,2.56188,0.505608,-0.2187279,2.531039,0.8833144,0.1246409,2.324754,0.945096,-0.1236321,2.254973,0.9268873,-0.3332802,2.202315,0.9101726,-0.3983091,2.181273,0.8106034,-0.2259192,2.446437,0.8699566,-0.6005585,2.5068,0.8041526,-0.9406406,2.546442,0.7260577,-0.9801919,2.516989,0.8515801,-0.2151677,2.369515,0.7849938,-0.5843247,2.459766,1.070654,-0.7937522,2.602249,0.9866337,-0.8585415,2.60721,
0.8354909,-0.1769559,2.410929,0.8428452,-0.1040895,2.411081,0.8805513,0.2601444,2.427672,0.831858,0.4079196,2.434545,0.7915497,0.1008342,2.524766,0.7563169,-0.07246582,2.60043,0.5850239,-0.1766547,2.56188,0.505608,-0.2187279,2.531039,0.8833144,0.1246409,2.324754,0.945096,-0.1236321,2.254973,0.9268873,-0.3332802,2.202315,0.9101726,-0.3983091,2.181273,0.8106034,-0.2259192,2.446437,0.8699566,-0.6005585,2.5068,0.8041526,-0.9406406,2.546442,0.7260577,-0.9801919,2.516989,0.8515801,-0.2151677,2.369515,0.7849938,-0.5843247,2.459766,1.070654,-0.7937522,2.602249,0.9866337,-0.8585415,2.60721,
0.7705766,-0.1540052,2.433844,0.7816281,-0.08446617,2.429345,0.8420949,0.2628609,2.423127,0.791734,0.4084538,2.432916,0.742779,0.1108047,2.50502,0.7220013,-0.07921012,2.606996,0.5615579,-0.1998437,2.566158,0.4845617,-0.2431733,2.539492,0.8438305,0.1232904,2.321999,0.8881589,-0.1219307,2.252675,0.8486925,-0.3504232,2.221882,0.8292145,-0.4060026,2.187466,0.742355,-0.1982172,2.469535,0.8263468,-0.5682133,2.577624,0.798452,-0.959433,2.550309,0.7562596,-1.035014,2.610573,0.7856262,-0.192674,2.397843,0.7831466,-0.5847754,2.459354,0.9511686,-0.7441776,2.611597,0.8920965,-0.8315412,2.609984,
0.7705766,-0.1540052,2.433844,0.7816281,-0.08446617,2.429345,0.8420949,0.2628609,2.423127,0.791734,0.4084538,2.432916,0.742779,0.1108047,2.50502,0.7220013,-0.07921012,2.606996,0.5615579,-0.1998437,2.566158,0.4845617,-0.2431733,2.539492,0.8438305,0.1232904,2.321999,0.8881589,-0.1219307,2.252675,0.8486925,-0.3504232,2.221882,0.8292145,-0.4060026,2.187466,0.742355,-0.1982172,2.469535,0.8263468,-0.5682133,2.577624,0.798452,-0.959433,2.550309,0.7562596,-1.035014,2.610573,0.7856262,-0.192674,2.397843,0.7831466,-0.5847754,2.459354,0.9511686,-0.7441776,2.611597,0.8920965,-0.8315412,2.609984,
