HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
-0.3710705,-0.06124849,1.634068,-0.3724449,0.009094723,1.623742,-0.3793167,0.3608108,1.588412,-0.3919356,0.5785033,1.625515,-0.5415805,0.2164812,1.605742,-0.6146299,-0.004327708,1.651028,-0.6690072,-0.2155309,1.746153,-0.67905,-0.3005667,1.785924,-0.2280646,0.2275787,1.601075,-0.1324596,-0.04805204,1.61143,-0.08569341,-0.2609006,1.666352,-0.07352403,-0.3318687,1.678912,-0.4402354,-0.1341808,1.642599,-0.4422551,-0.5589571,1.754744,-0.4437903,-0.8818482,1.823946,-0.4455017,-0.9338287,1.740055,-0.2991532,-0.1291869,1.636324,-0.2390255,-0.5083453,1.759009,-0.3505113,-0.844215,1.842304,-0.3522226,-0.8961955,1.758413,
-0.3710705,-0.06124849,1.634068,-0.3724449,0.009094723,1.623742,-0.3793167,0.3608108,1.588412,-0.3919356,0.5785033,1.625515,-0.5415805,0.2164812,1.605742,-0.6146299,-0.004327708,1.651028,-0.6690072,-0.2155309,1.746153,-0.67905,-0.3005667,1.785924,-0.2280646,0.2275787,1.601075,-0.1324596,-0.04805204,1.61143,-0.08569341,-0.2609006,1.666352,-0.07352403,-0.3318687,1.678912,-0.4402354,-0.1341808,1.642599,-0.4422551,-0.5589571,1.754744,-0.4437903,-0.8818482,1.823946,-0.4455017,-0.9338287,1.740055,-0.2991532,-0.1291869,1.636324,-0.2390255,-0.5083453,1.759009,-0.3505113,-0.844215,1.842304,-0.3522226,-0.8961955,1.758413,
-0.3701904,-0.05357691,1.662352,-0.3719463,0.01534325,1.65135,-0.3805695,0.3606297,1.613409,-0.3867702,0.572683,1.654128,-0.5386959,0.2288553,1.633158,-0.6172298,0.01196451,1.687185,-0.665256,-0.1780458,1.789647,-0.67452,-0.2302155,1.816173,-0.2304101,0.2280684,1.61551,-0.1311082,-0.04192683,1.620867,-0.08223753,-0.2545731,1.672327,-0.06836424,-0.3316209,1.689595,-0.4373943,-0.1215968,1.674397,-0.4172832,-0.5729379,1.785529,-0.3949273,-0.8764136,1.834684,-0.4003126,-0.9259406,1.755551,-0.2992793,-0.122929,1.663,-0.2385287,-0.514263,1.816118,-0.3391963,-0.8465489,1.845265,-0.3445817,-0.8960758,1.766131,
-0.3701904,-0.05357691,1.662352,-0.3719463,0.01534325,1.65135,-0.3805695,0.3606297,1.613409,-0.3867702,0.572683,1.654128,-0.5386959,0.2288553,1.633158,-0.6172298,0.01196451,1.687185,-0.665256,-0.1780458,1.789647,-0.67452,-0.2302155,1.816173,-0.2304101,0.2280684,1.61551,-0.1311082,-0.04192683,1.620867,-0.08223753,-0.2545731,1.672327,-0.06836424,-0.3316209,1.689595,-0.4373943,-0.1215968,1.674397,-0.4172832,-0.5729379,1.785529,-0.3949273,-0.8764136,1.834684,-0.4003126,-0.9259406,1.755551,-0.2992793,-0.122929,1.663,-0.2385287,-0.514263,1.816118,-0.3391963,-0.8465489,1.845265,-0.3445817,-0.8960758,1.766131,
-0.3676872,-0.04551528,1.706192,-0.3697438,0.02429613,1.695283,-0.3800546,0.3732371,1.656182,-0.3868418,0.5830043,1.685994,-0.5357971,0.2399101,1.672077,-0.6182027,0.03782933,1.730896,-0.6565878,-0.1513847,1.833109,-0.6655034,-0.2015921,1.858638,-0.2279732,0.2318792,1.655487,-0.1283938,-0.03231848,1.645707,-0.07639968,-0.2419273,1.69541,-0.05875804,-0.3122669,1.721749,-0.4349397,-0.1129304,1.715963,-0.415859,-0.5767487,1.799723,-0.3866995,-0.8856053,1.829327,-0.3920327,-0.9357005,1.749406,-0.2963665,-0.1164677,1.70808,-0.2480243,-0.5399459,1.876713,-0.3258711,-0.8555353,1.889922,-0.3312043,-0.9056305,1.810001,
-0.3676872,-0.04551528,1.706192,-0.3697438,0.02429613,1.695283,-0.3800546,0.3732371,1.656182,-0.3868418,0.5830043,1.685994,-0.5357971,0.2399101,1.672077,-0.6182027,0.03782933,1.730896,-0.6565878,-0.1513847,1.833109,-0.6655034,-0.2015921,1.858638,-0.2279732,0.2318792,1.655487,-0.1283938,-0.03231848,1.645707,-0.07639968,-0.2419273,1.69541,-0.05875804,-0.3122669,1.721749,-0.4349397,-0.1129304,1.715963,-0.415859,-0.5767487,1.799723,-0.3866995,-0.8856053,1.829327,-0.3920327,-0.9357005,1.749406,-0.2963665,-0.1164677,1.70808,-0.2480243,-0.5399459,1.876713,-0.3258711,-0.8555353,1.889922,-0.3312043,-0.9056305,1.810001,
-0.3676482,-0.03367148,1.737862,-0.369814,0.03456277,1.726123,-0.3806084,0.3766522,1.68464,-0.3794144,0.5838918,1.743697,-0.5308916,0.2541083,1.706473,-0.6148967,0.05209709,1.767941,-0.649545,-0.1306487,1.878795,-0.6582669,-0.1797654,1.903769,-0.2285985,0.2386064,1.685873,-0.1289282,-0.02265594,1.670637,-0.07336538,-0.2313788,1.715104,-0.05462969,-0.301671,1.735223,-0.4334927,-0.09763157,1.750194,-0.4200216,-0.5780149,1.808234,-0.3878155,-0.8808763,1.822113,-0.3945642,-0.9313799,1.742327,-0.297421,-0.104981,1.739453,-0.257657,-0.514333,1.936785,-0.2904415,-0.8436205,1.932354,-0.2971902,-0.894124,1.852569,
-0.3676482,-0.03367148,1.737862,-0.369814,0.03456277,1.726123,-0.3806084,0.3766522,1.68464,-0.3794144,0.5838918,1.743697,-0.5308916,0.2541083,1.706473,-0.6148967,0.05209709,1.767941,-0.649545,-0.1306487,1.878795,-0.6582669,-0.1797654,1.903769,-0.2285985,0.2386064,1.685873,-0.1289282,-0.02265594,1.670637,-0.07336538,-0.2313788,1.715104,-0.05462969,-0.301671,1.735223,-0.4334927,-0.09763157,1.750194,-0.4200216,-0.5780149,1.808234,-0.3878155,-0.8808763,1.822113,-0.3945642,-0.9313799,1.742327,-0.297421,-0.104981,1.739453,-0.257657,-0.514333,1.936785,-0.2904415,-0.8436205,1.932354,-0.2971902,-0.894124,1.852569,
-0.3656637,-0.02978206,1.775004,-0.3675765,0.03857092,1.763815,-0.3771794,0.3803406,1.723003,-0.3765178,0.588228,1.763736,-0.536296,0.2644212,1.755366,-0.6174995,0.05663502,1.822347,-0.6415435,-0.1253119,1.93609,-0.650149,-0.1737727,1.960731,-0.2307807,0.2355874,1.716161,-0.1274533,-0.02342721,1.694546,-0.0690128,-0.2311356,1.738153,-0.04796534,-0.29987,1.757602,-0.4322128,-0.0921017,1.789206,-0.4229867,-0.5733823,1.824525,-0.3871531,-0.8848437,1.806308,-0.3992952,-0.9354504,1.726675,-0.2952843,-0.1048045,1.773615,-0.26413,-0.5249694,1.986842,-0.2731442,-0.8015586,2.038203,-0.2217745,-0.8480573,1.99652,
-0.3656637,-0.02978206,1.775004,-0.3675765,0.03857092,1.763815,-0.3771794,0.3803406,1.723003,-0.3765178,0.588228,1.763736,-0.536296,0.2644212,1.755366,-0.6174995,0.05663502,1.822347,-0.6415435,-0.1253119,1.93609,-0.650149,-0.1737727,1.960731,-0.2307807,0.2355874,1.716161,-0.1274533,-0.02342721,1.694546,-0.0690128,-0.2311356,1.738153,-0.04796534,-0.29987,1.757602,-0.4322128,-0.0921017,1.789206,-0.4229867,-0.5733823,1.824525,-0.3871531,-0.8848437,1.806308,-0.3992952,-0.9354504,1.726675,-0.2952843,-0.1048045,1.773615,-0.26413,-0.5249694,1.986842,-0.2731442,-0.8015586,2.038203,-0.2217745,-0.8480573,1.99652,
-0.3631771,-0.02908905,1.815315,-0.3646915,0.03931295,1.803198,-0.3723027,0.3813271,1.759485,-0.3719487,0.5878064,1.818811,-0.5345968,0.269271,1.78413,-0.619471,0.06133623,1.862044,-0.6334864,-0.1200614,1.976665,-0.6420146,-0.1680874,2.001085,-0.2311634,0.2296247,1.752042,-0.1327639,-0.01628232,1.72834,-0.0722706,-0.2219937,1.773869,-0.04642652,-0.2904069,1.783785,-0.429903,-0.08870289,1.827992,-0.4171677,-0.5739432,1.847061,-0.4014462,-0.88604,1.790882,-0.4121039,-0.9370657,1.711017,-0.2934401,-0.1070782,1.817473,-0.2571713,-0.5219097,2.045975,-0.2714145,-0.8014163,2.127568,-0.2820722,-0.852442,2.047703,
-0.3631771,-0.02908905,1.815315,-0.3646915,0.03931295,1.803198,-0.3723027,0.3813271,1.759485,-0.3719487,0.5878064,1.818811,-0.5345968,0.269271,1.78413,-0.619471,0.06133623,1.862044,-0.6334864,-0.1200614,1.976665,-0.6420146,-0.1680874,2.001085,-0.2311634,0.2296247,1.752042,-0.1327639,-0.01628232,1.72834,-0.0722706,-0.2219937,1.773869,-0.04642652,-0.2904069,1.783785,-0.429903,-0.08870289,1.827992,-0.4171677,-0.5739432,1.847061,-0.4014462,-0.88604,1.790882,-0.4121039,-0.9370657,1.711017,-0.2934401,-0.1070782,1.817473,-0.2571713,-0.5219097,2.045975,-0.2714145,-0.8014163,2.127568,-0.2820722,-0.852442,2.047703,
-0.3603672,-0.02223962,1.857679,-0.3613089,0.04507348,1.845743,-0.3660484,0.3816196,1.801831,-0.3669598,0.5881009,1.841292,-0.5311145,0.2820455,1.833786,-0.6158888,0.06368318,1.912139,-0.6192216,-0.120327,2.02352,-0.6277539,-0.1683761,2.047951,-0.2311521,0.2239609,1.791942,-0.1321346,-0.0211983,1.762261,-0.08102766,-0.22421,1.823571,-0.04804137,-0.290159,1.827375,-0.4268199,-0.07755316,1.873435,-0.4266228,-0.4692217,1.880546,-0.3903958,-0.846874,1.787798,-0.4032246,-0.909804,1.706413,-0.2919322,-0.1040213,1.856572,-0.2008603,-0.4507083,2.107839,-0.2688957,-0.8034868,2.221324,-0.2828766,-0.8544068,2.142074,
-0.3603672,-0.02223962,1.857679,-0.3613089,0.04507348,1.845743,-0.3660484,0.3816196,1.801831,-0.3669598,0.5881009,1.841292,-0.5311145,0.2820455,1.833786,-0.6158888,0.06368318,1.912139,-0.6192216,-0.120327,2.02352,-0.6277539,-0.1683761,2.047951,-0.2311521,0.2239609,1.791942,-0.1321346,-0.0211983,1.762261,-0.08102766,-0.22421,1.823571,-0.04804137,-0.290159,1.827375,-0.4268199,-0.07755316,1.873435,-0.4266228,-0.4692217,1.880546,-0.3903958,-0.846874,1.787798,-0.4032246,-0.909804,1.706413,-0.2919322,-0.1040213,1.856572,-0.2008603,-0.4507083,2.107839,-0.2688957,-0.8034868,2.221324,-0.2828766,-0.8544068,2.142074,
