Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z
0,-0.1694641,-0.1195678,1.351265,-0.1618655,-0.05631392,1.352307,-0.1279011,0.2613153,1.361982,-0.04941474,0.4277427,1.285372,-0.2923928,0.2032237,1.368557,-0.4873979,0.1618792,1.374423,-0.4409014,0.1224628,1.172426,-0.4289182,0.1123043,1.123333,0.02093598,0.1347223,1.384686,0.1445859,-0.05032773,1.384176,0.2463177,-0.1753161,1.22269,0.2866538,-0.2219354,1.118008,-0.2504151,-0.183082,1.339368,-0.3125805,-0.4564101,1.285853,-0.3885098,-0.7902551,1.211956,-0.3926071,-0.8258309,1.127587,-0.107697,-0.1996962,1.35947,-0.0474117,-0.4764411,1.337229,0.02622127,-0.8144596,1.301529,0.04072182,-0.8540268,1.220311,
33,-0.1694641,-0.1195678,1.351265,-0.1618655,-0.05631392,1.352307,-0.1279011,0.2613153,1.361982,-0.04941474,0.4277427,1.285372,-0.2923928,0.2032237,1.368557,-0.4873979,0.1618792,1.374423,-0.4409014,0.1224628,1.172426,-0.4289182,0.1123043,1.123333,0.02093598,0.1347223,1.384686,0.1445859,-0.05032773,1.384176,0.2463177,-0.1753161,1.22269,0.2866538,-0.2219354,1.118008,-0.2504151,-0.183082,1.339368,-0.3125805,-0.4564101,1.285853,-0.3885098,-0.7902551,1.211956,-0.3926071,-0.8258309,1.127587,-0.107697,-0.1996962,1.35947,-0.0474117,-0.4764411,1.337229,0.02622127,-0.8144596,1.301529,0.04072182,-0.8540268,1.220311,
112,-0.1541555,-0.09913097,1.391596,-0.1484386,-0.03794336,1.407083,-0.1190575,0.2761548,1.423782,-0.0561904,0.4534419,1.358967,-0.3008468,0.2200146,1.434655,-0.4980676,0.1744116,1.427361,-0.4389364,0.1891731,1.225654,-0.4294467,0.1915421,1.195133,0.03887086,0.1562031,1.434168,0.2181912,-0.0001402947,1.394058,0.3647991,-0.1298892,1.217823,0.4071575,-0.1688516,1.158162,-0.2357811,-0.1661148,1.374844,-0.2911453,-0.4360713,1.292738,-0.3586248,-0.7651021,1.184088,-0.3647454,-0.7936531,1.096535,-0.08805422,-0.1872391,1.390368,-0.03312778,-0.4790219,1.37276,0.02960861,-0.8122932,1.343188,0.03952656,-0.8470093,1.261081,
140,-0.1487615,-0.08916837,1.415141,-0.1423695,-0.02840159,1.433833,-0.1115389,0.2863435,1.447942,-0.04987958,0.4626918,1.383091,-0.2974333,0.2316463,1.46233,-0.4978866,0.1886925,1.446676,-0.4279526,0.2102648,1.249401,-0.4217696,0.2121721,1.23298,0.04561768,0.1679862,1.451367,0.2340483,0.0208745,1.400813,0.3875827,-0.1151426,1.233708,0.4439807,-0.1502566,1.1815,-0.2313907,-0.1564854,1.398015,-0.2823035,-0.4312453,1.307849,-0.3429252,-0.7584008,1.191581,-0.3496018,-0.781069,1.104888,-0.08197945,-0.1783291,1.413463,-0.03077644,-0.4805992,1.388524,0.02413049,-0.8047349,1.351508,0.03069194,-0.8385405,1.268513,
162,-0.1487615,-0.08916837,1.415141,-0.1423695,-0.02840159,1.433833,-0.1115389,0.2863435,1.447942,-0.04987958,0.4626918,1.383091,-0.2974333,0.2316463,1.46233,-0.4978866,0.1886925,1.446676,-0.4279526,0.2102648,1.249401,-0.4217696,0.2121721,1.23298,0.04561768,0.1679862,1.451367,0.2340483,0.0208745,1.400813,0.3875827,-0.1151426,1.233708,0.4439807,-0.1502566,1.1815,-0.2313907,-0.1564854,1.398015,-0.2823035,-0.4312453,1.307849,-0.3429252,-0.7584008,1.191581,-0.3496018,-0.781069,1.104888,-0.08197945,-0.1783291,1.413463,-0.03077644,-0.4805992,1.388524,0.02413049,-0.8047349,1.351508,0.03069194,-0.8385405,1.268513,
290,-0.1156339,-0.0914005,1.510884,-0.1065645,-0.03097443,1.529282,-0.06932135,0.2782864,1.51952,-0.02570552,0.4599735,1.452717,-0.2583078,0.2361226,1.549537,-0.4689176,0.2508401,1.544262,-0.3948053,0.2917844,1.352127,-0.3886853,0.2951654,1.337215,0.08376192,0.1714326,1.521139,0.3036775,0.05185583,1.447126,0.5169185,-0.06826131,1.32372,0.5743813,-0.09573844,1.296733,-0.2016251,-0.1585705,1.501201,-0.2616866,-0.4448744,1.405861,-0.327104,-0.7567087,1.291925,-0.338791,-0.781449,1.206213,-0.04892653,-0.1804865,1.512967,-0.01789475,-0.4972668,1.477304,0.01287609,-0.8113834,1.430719,0.01107913,-0.8459668,1.347678,
317,-0.1122708,-0.1074908,1.53,-0.1025873,-0.04775984,1.547948,-0.06379494,0.2576675,1.536527,-0.02127811,0.4375595,1.470612,-0.2517077,0.2142102,1.572352,-0.4651608,0.2540254,1.556813,-0.3960136,0.2987664,1.363624,-0.3909497,0.3020429,1.350322,0.09454489,0.1521581,1.539339,0.3092642,0.04533307,1.460538,0.5337273,-0.0582413,1.349201,0.6034044,-0.08932021,1.320001,-0.1989317,-0.1762551,1.523576,-0.2576035,-0.4590212,1.434115,-0.3236099,-0.7771367,1.323789,-0.3363633,-0.8025295,1.238391,-0.04619838,-0.1965572,1.530025,-0.007998053,-0.509418,1.494433,0.03061539,-0.8256621,1.447453,0.02869174,-0.8603719,1.364437,
342,-0.106559,-0.132932,1.551229,-0.0974412,-0.07331502,1.567957,-0.06239087,0.2302048,1.553773,-0.01563136,0.4167514,1.484818,-0.2460836,0.1883446,1.591003,-0.4639315,0.2488228,1.571005,-0.4105898,0.323273,1.382304,-0.3988057,0.3135046,1.361787,0.09870327,0.1274149,1.555161,0.3083658,0.03466142,1.47618,0.5450198,-0.05379203,1.376877,0.6183312,-0.07985219,1.346544,-0.1905878,-0.2029301,1.547431,-0.2537541,-0.4702178,1.459901,-0.3308847,-0.7965944,1.344444,-0.3458159,-0.8249833,1.258402,-0.0414601,-0.2194317,1.549015,-0.005225449,-0.5174141,1.504637,0.03487153,-0.847159,1.445629,0.03190242,-0.8807513,1.36216,
367,-0.1012288,-0.1498383,1.569079,-0.09236087,-0.09084248,1.585445,-0.05792961,0.2095903,1.571813,-0.0110261,0.3967045,1.497409,-0.241796,0.1692689,1.604345,-0.4605785,0.2193122,1.59667,-0.4295029,0.3187968,1.415117,-0.4144296,0.3226304,1.374899,0.1040456,0.1059811,1.569968,0.313017,0.01115375,1.49314,0.5526049,-0.05757631,1.396437,0.6286996,-0.08040792,1.370236,-0.1860513,-0.2188705,1.565008,-0.2239112,-0.4921122,1.486285,-0.2703492,-0.8272635,1.381208,-0.282279,-0.859087,1.295012,-0.03498219,-0.2379789,1.567634,-0.0003479973,-0.5288689,1.516475,0.03962986,-0.86464,1.448071,0.03684355,-0.897067,1.364076,
393,-0.09466688,-0.1652731,1.584941,-0.08649648,-0.1060527,1.600181,-0.05466829,0.1943874,1.585075,-0.004780159,0.3813269,1.506828,-0.2357122,0.1529035,1.616647,-0.4576882,0.2034888,1.602866,-0.4466049,0.3104852,1.423408,-0.4344811,0.3211064,1.386164,0.1076515,0.09205526,1.584127,0.3193204,-0.009587483,1.510079,0.5502159,-0.07375394,1.423678,0.6260747,-0.09248953,1.39308,-0.178152,-0.2353353,1.582183,-0.2238792,-0.5055169,1.495069,-0.2799303,-0.8366983,1.379759,-0.2924347,-0.867625,1.293166,-0.02858133,-0.2511023,1.582369,0.004206945,-0.5334901,1.524281,0.04386505,-0.8750441,1.445305,0.04116084,-0.907487,1.360804,
