Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z
0,-0.01805087,-0.02309267,1.50938,-0.01919045,0.04336168,1.504416,-0.02488835,0.3756334,1.495198,-0.01033398,0.5074393,1.437872,-0.1928183,0.282269,1.494011,-0.4112209,0.1657989,1.483495,-0.6084193,0.1606333,1.35851,-0.6693618,0.1763648,1.299105,0.1356293,0.2882672,1.513137,0.3793758,0.1462356,1.535434,0.6239333,0.1359307,1.464284,0.7098033,0.1423019,1.455556,-0.09068112,-0.09852934,1.504404,-0.1174881,-0.4571919,1.495894,-0.0552984,-0.7737025,1.536973,-0.03976239,-0.8259429,1.460296,0.05712032,-0.09583017,1.514881,0.09940222,-0.4620308,1.492233,0.1361433,-0.7802426,1.458585,0.1456282,-0.8205019,1.374092,
107,-0.02424732,0.02403787,1.518869,-0.02652008,0.09332486,1.524036,-0.03553766,0.4437009,1.522392,-0.007608624,0.5659069,1.45844,-0.1942648,0.3462557,1.520435,-0.4256742,0.2659715,1.52128,-0.631159,0.2695324,1.410428,-0.6957632,0.2888625,1.358799,0.122739,0.3540034,1.543478,0.3759663,0.2473046,1.602414,0.6193168,0.2464752,1.559866,0.7028559,0.2614563,1.562978,-0.09434696,-0.04901212,1.511026,-0.1106998,-0.3829158,1.524567,-0.1261076,-0.7323718,1.414122,-0.1217765,-0.7599515,1.326131,0.04846971,-0.04506323,1.522938,0.09584992,-0.4458669,1.504192,0.1540574,-0.7340522,1.493599,0.1686797,-0.7748332,1.412083,
127,-0.02424732,0.02403787,1.518869,-0.02652008,0.09332486,1.524036,-0.03553766,0.4437009,1.522392,-0.007608624,0.5659069,1.45844,-0.1942648,0.3462557,1.520435,-0.4256742,0.2659715,1.52128,-0.631159,0.2695324,1.410428,-0.6957632,0.2888625,1.358799,0.122739,0.3540034,1.543478,0.3759663,0.2473046,1.602414,0.6193168,0.2464752,1.559866,0.7028559,0.2614563,1.562978,-0.09434696,-0.04901212,1.511026,-0.1106998,-0.3829158,1.524567,-0.1261076,-0.7323718,1.414122,-0.1217765,-0.7599515,1.326131,0.04846971,-0.04506323,1.522938,0.09584992,-0.4458669,1.504192,0.1540574,-0.7340522,1.493599,0.1686797,-0.7748332,1.412083,
150,-0.0262752,0.03750643,1.524081,-0.02901708,0.1072419,1.531742,-0.03817814,0.458732,1.533091,-0.004990958,0.5870966,1.466868,-0.1959598,0.366948,1.534868,-0.4334577,0.2950742,1.532332,-0.6412905,0.3222662,1.43019,-0.7102464,0.3470084,1.376428,0.1205636,0.3801767,1.564055,0.3747947,0.2796327,1.628965,0.6175632,0.2931171,1.599462,0.677739,0.3212912,1.589651,-0.09582514,-0.03669205,1.514797,-0.1108999,-0.3819077,1.52584,-0.1520477,-0.7251974,1.418935,-0.1489834,-0.7530414,1.330055,0.0467882,-0.03186896,1.526861,0.09664793,-0.4380747,1.508871,0.2311455,-0.7008989,1.465642,0.2554401,-0.73203,1.381232,
194,-0.02731404,0.04034943,1.527309,-0.03041324,0.1107713,1.53841,-0.03980176,0.470354,1.546209,-0.004482713,0.6049077,1.479373,-0.1961199,0.3745092,1.544222,-0.4377032,0.3176177,1.546218,-0.6449171,0.3486659,1.443715,-0.7177343,0.3805884,1.391255,0.1179751,0.3872313,1.573466,0.3734379,0.3042342,1.648767,0.623517,0.3310614,1.631666,0.6899627,0.3542799,1.630001,-0.09649348,-0.03353104,1.517498,-0.1184066,-0.3759947,1.528481,-0.1567561,-0.72499,1.417618,-0.1532657,-0.7516147,1.327407,0.04538453,-0.02838705,1.529317,0.09803569,-0.4346378,1.511429,0.1705804,-0.7220731,1.517159,0.1902741,-0.7647618,1.435617,
212,-0.02731404,0.04034943,1.527309,-0.03041324,0.1107713,1.53841,-0.03980176,0.470354,1.546209,-0.004482713,0.6049077,1.479373,-0.1961199,0.3745092,1.544222,-0.4377032,0.3176177,1.546218,-0.6449171,0.3486659,1.443715,-0.7177343,0.3805884,1.391255,0.1179751,0.3872313,1.573466,0.3734379,0.3042342,1.648767,0.623517,0.3310614,1.631666,0.6899627,0.3542799,1.630001,-0.09649348,-0.03353104,1.517498,-0.1184066,-0.3759947,1.528481,-0.1567561,-0.72499,1.417618,-0.1532657,-0.7516147,1.327407,0.04538453,-0.02838705,1.529317,0.09803569,-0.4346378,1.511429,0.1705804,-0.7220731,1.517159,0.1902741,-0.7647618,1.435617,
236,-0.02879716,0.04027356,1.530751,-0.03229837,0.1108307,1.5454,-0.04064291,0.474061,1.555537,-0.006075718,0.6188781,1.497051,-0.1963616,0.3785951,1.554215,-0.4493132,0.3357782,1.556926,-0.6581606,0.3774466,1.460146,-0.7283257,0.4145606,1.409781,0.1147249,0.3951966,1.587282,0.3772158,0.3209939,1.667217,0.6258724,0.3556055,1.653423,0.7032052,0.4071264,1.667651,-0.09743902,-0.03353074,1.519786,-0.1240417,-0.3732713,1.53011,-0.1618265,-0.7245725,1.421667,-0.1573453,-0.7509713,1.331351,0.04352834,-0.02769091,1.532035,0.1012736,-0.4286786,1.512801,0.1640261,-0.7220644,1.516979,0.1833095,-0.7646663,1.435203,
267,-0.03234971,0.03372403,1.542572,-0.03718279,0.1021537,1.566181,-0.04466285,0.4602667,1.583976,-0.00990865,0.6149026,1.537736,-0.2046614,0.3718862,1.579571,-0.474575,0.3505812,1.570983,-0.6745558,0.4053167,1.476161,-0.7373403,0.4555994,1.433229,0.1161392,0.3937449,1.62477,0.3784379,0.329845,1.694844,0.601709,0.381646,1.693223,0.6824471,0.4220414,1.705989,-0.1022509,-0.04290069,1.527601,-0.1321662,-0.3675029,1.529735,-0.150192,-0.7301774,1.441345,-0.1411766,-0.757198,1.352924,0.04137345,-0.03358655,1.542529,0.09899592,-0.4264749,1.517187,0.1563267,-0.7187014,1.518776,0.1775825,-0.7594588,1.438051,
289,-0.03485205,0.02330599,1.551946,-0.0401861,0.08918907,1.579756,-0.04614696,0.438499,1.600733,-0.01428666,0.5956623,1.553824,-0.2130122,0.3563386,1.594837,-0.4827431,0.3484603,1.573041,-0.6744128,0.4348994,1.482158,-0.733533,0.4848376,1.434673,0.1202212,0.374833,1.64597,0.3804149,0.3256402,1.705936,0.6157746,0.394336,1.707955,0.6948515,0.4368706,1.72143,-0.1072593,-0.05587611,1.532851,-0.1359245,-0.3810994,1.527533,-0.1418685,-0.7451282,1.459485,-0.1302701,-0.7747918,1.371957,0.04105172,-0.04839793,1.553911,0.08810405,-0.4337176,1.522097,0.123122,-0.7344112,1.535869,0.1424378,-0.7792549,1.456549,
309,-0.03485205,0.02330599,1.551946,-0.0401861,0.08918907,1.579756,-0.04614696,0.438499,1.600733,-0.01428666,0.5956623,1.553824,-0.2130122,0.3563386,1.594837,-0.4827431,0.3484603,1.573041,-0.6744128,0.4348994,1.482158,-0.733533,0.4848376,1.434673,0.1202212,0.374833,1.64597,0.3804149,0.3256402,1.705936,0.6157746,0.394336,1.707955,0.6948515,0.4368706,1.72143,-0.1072593,-0.05587611,1.532851,-0.1359245,-0.3810994,1.527533,-0.1418685,-0.7451282,1.459485,-0.1302701,-0.7747918,1.371957,0.04105172,-0.04839793,1.553911,0.08810405,-0.4337176,1.522097,0.123122,-0.7344112,1.535869,0.1424378,-0.7792549,1.456549,
