Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
0,-0.191515,-0.09963833,1.072705,-0.2113126,-0.04749364,1.126357,-0.2105289,0.2775502,1.146363,-0.1573869,0.4039137,1.061788,-0.3513772,0.1832933,1.085311,-0.4540873,-0.008698549,1.018213,-0.5827167,-0.2491405,0.9530574,-0.6204222,-0.3196219,0.9377522,-0.06787094,0.1606883,1.190954,-0.01533387,-0.09438969,1.127885,0.06813113,-0.2892457,1.016739,0.09750716,-0.3379992,0.98896,-0.2551842,-0.165908,1.031214,-0.3943537,-0.4563944,0.8836516,-0.5256115,-0.7303668,0.7312782,-0.5119839,-0.7458203,0.6381872,-0.1215912,-0.1647693,1.081489,-0.1391169,-0.482026,0.9239289,-0.1556462,-0.7812468,0.7621269,-0.1279228,-0.7952044,0.6719766,
482,-0.191515,-0.09963833,1.072705,-0.2113126,-0.04749364,1.126357,-0.2105289,0.2775502,1.146363,-0.1573869,0.4039137,1.061788,-0.3513772,0.1832933,1.085311,-0.4540873,-0.008698549,1.018213,-0.5827167,-0.2491405,0.9530574,-0.6204222,-0.3196219,0.9377522,-0.06787094,0.1606883,1.190954,-0.01533387,-0.09438969,1.127885,0.06813113,-0.2892457,1.016739,0.09750716,-0.3379992,0.98896,-0.2551842,-0.165908,1.031214,-0.3943537,-0.4563944,0.8836516,-0.5256115,-0.7303668,0.7312782,-0.5119839,-0.7458203,0.6381872,-0.1215912,-0.1647693,1.081489,-0.1391169,-0.482026,0.9239289,-0.1556462,-0.7812468,0.7621269,-0.1279228,-0.7952044,0.6719766,
807,-0.1163351,0.2913994,1.054953,-0.09823219,0.3146369,1.01056,-0.1588399,0.2869304,1.003137,-0.0260779,0.3976212,0.9797327,-0.212856,0.1363861,0.9071758,-0.2118711,-0.07299362,0.8461347,-0.02549767,0.006021626,0.8976682,0.03662681,0.03236004,0.9191294,-0.09478547,0.1027468,0.9803607,-0.04789365,-0.1040968,0.9432803,-0.07878931,-0.04444842,0.6509947,-0.08908786,-0.02456562,0.5578495,-0.09316608,0.350942,0.9731565,0.1060347,0.02751148,1.096938,-0.01671272,-0.183143,0.9394039,0.01404472,-0.2668352,0.8781447,-0.01947965,0.2456922,1.249692,0.02402224,-0.01395151,1.4213,0.1430606,-0.3024293,1.54341,0.1245361,-0.3027929,1.436828,
828,-0.1163351,0.2913994,1.054953,-0.09823219,0.3146369,1.01056,-0.1588399,0.2869304,1.003137,-0.0260779,0.3976212,0.9797327,-0.212856,0.1363861,0.9071758,-0.2118711,-0.07299362,0.8461347,-0.02549767,0.006021626,0.8976682,0.03662681,0.03236004,0.9191294,-0.09478547,0.1027468,0.9803607,-0.04789365,-0.1040968,0.9432803,-0.07878931,-0.04444842,0.6509947,-0.08908786,-0.02456562,0.5578495,-0.09316608,0.350942,0.9731565,0.1060347,0.02751148,1.096938,-0.01671272,-0.183143,0.9394039,0.01404472,-0.2668352,0.8781447,-0.01947965,0.2456922,1.249692,0.02402224,-0.01395151,1.4213,0.1430606,-0.3024293,1.54341,0.1245361,-0.3027929,1.436828,
852,-0.1107063,0.2866494,1.037507,-0.093137,0.258231,0.9992186,-0.1441348,0.2863809,0.9977567,0.001174808,0.3892037,0.9916273,-0.1662176,0.1090974,0.9082934,-0.1876586,-0.09492444,0.8291057,-0.02689651,0.01365232,0.9020803,0.02669086,0.04984458,0.9306864,-0.08192584,0.1052114,0.9805452,-0.04707511,-0.1037459,0.944361,-0.07355673,-0.04116803,0.6526817,-0.08238393,-0.02030876,0.5597364,-0.06549504,0.3227502,0.9233951,0.1200873,0.02345478,1.097936,-0.007045073,-0.1800801,0.937407,-0.09914418,-0.1953155,0.9481905,-0.01600062,0.2405832,1.246067,0.04915911,-0.04456748,1.404212,0.1681974,-0.3330453,1.526334,0.1495264,-0.3330069,1.419892,
912,-0.08412743,0.2777374,1.025958,-0.1101209,0.2567953,1.049158,-0.1276028,0.2842575,0.9914042,0.01138696,0.3968758,0.9893883,-0.1772405,0.10071,0.896647,-0.1325289,-0.1027632,0.8328741,0.009085387,0.02394368,0.9137393,0.05629014,0.06617931,0.9449725,-0.08101971,0.1099212,0.9612029,-0.04850801,-0.09921728,0.9263679,-0.007282618,-0.204353,0.7342688,0.00645918,-0.2393983,0.6745139,-0.02854862,0.3052173,0.913864,0.1257443,0.03784752,1.082703,-0.001388093,-0.1656873,0.922192,-0.01807829,-0.08771367,0.8751776,0.01471502,0.2196725,1.214113,0.08054356,-0.09281862,1.382885,0.1995819,-0.3812964,1.505026,0.1811056,-0.3814161,1.398729,
933,-0.1764818,0.07310183,0.9917557,-0.1868402,0.1143736,1.018157,-0.1009255,0.2759646,0.9868708,0.01774465,0.3980545,0.9571963,-0.16887,0.09324327,0.8919665,-0.01361643,-0.05037704,0.858538,-0.05706885,0.04720376,1.028439,-0.1061259,0.04513068,1.06284,-0.02226983,0.1299637,1.001318,0.008813899,-0.07920595,0.9671731,-0.04296073,-0.1815568,0.7764657,-0.06021895,-0.2156737,0.7171714,-0.2053889,0.01042305,0.9455386,0.006850168,-0.1990127,0.9433011,-0.1862946,-0.3932108,0.7576392,-0.1635281,-0.4293423,0.6742809,-0.1825307,0.052835,1.035295,0.04740873,-0.0715182,1.330061,-0.01139912,-0.0471602,0.9390574,0.03238147,-0.06102131,0.8574269,
968,0.02934137,0.1409209,0.9912506,0.0003139861,0.1356961,1.015696,-0.04320754,0.2251297,0.9931316,-0.145521,0.321326,0.9134814,-0.1113181,0.03745025,0.8949342,0.04709701,-0.09761748,0.9070147,-0.08547758,0.06251042,0.8553519,-0.134535,0.06043733,0.8897533,0.02910078,0.164831,1.075591,0.06015924,-0.04416856,1.041463,0.01676599,-0.174175,0.8537394,0.002301574,-0.2175105,0.7954379,-0.07015418,0.01606103,0.9833309,0.2212669,-0.07878746,1.064246,0.09413451,-0.2823223,0.903764,0.05975984,-0.1907334,0.9264965,0.1845914,0.2010655,0.9878728,0.1216444,-0.0356808,1.295913,0.05231487,-0.01124469,0.9066694,0.08306746,0.03016881,0.8285713,
991,0.03636272,0.1319765,0.9917444,0.008378612,0.1292473,1.018303,-0.01248262,0.2311319,1.016733,-0.09484795,0.3319933,0.925876,-0.08059315,0.04345252,0.9185351,0.07769354,-0.09150574,0.930595,-0.0539998,0.04015427,0.8179015,-0.1030517,0.03808144,0.8522989,0.0598257,0.1708332,1.099192,0.090859,-0.03799692,1.065081,0.03420624,-0.1962827,0.8556194,0.01532198,-0.2490447,0.7900704,-0.01698582,0.004245198,1.049592,0.2646156,-0.08877289,1.069752,0.1095371,-0.2830766,0.9060078,0.0811478,-0.2104331,0.9214478,0.1489248,0.1486311,0.9014653,0.1350441,-0.03649251,1.247145,0.06528491,-0.01252764,0.8578745,0.09697364,0.02786395,0.7796842,
1024,0.1058774,0.196195,1.197258,0.085613,0.2372639,1.169862,-0.001214929,0.2289628,1.004621,-0.08475544,0.339162,0.9225003,-0.06932546,0.04128344,0.9064239,0.08891839,-0.09363829,0.918485,-0.04016352,0.01535226,0.7788376,-0.08922029,0.0132792,0.8132384,0.06134514,0.04017137,0.9672872,0.05690701,-0.1727445,0.8613024,0.02909308,-0.3800658,0.8780471,0.08611278,-0.4106402,0.9269665,0.02977334,0.1938329,1.217417,0.2870311,-0.01763736,1.172913,0.1598987,-0.2211722,1.012453,0.1110364,-0.2440737,0.9195015,0.2082503,0.1902706,1.227242,0.1840016,-0.09693605,1.406796,0.1013963,-0.09616712,1.019764,0.1021909,-0.1740232,0.9680657,
