Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
0,0.304871,-0.140529,1.307377,0.2842327,-0.08580648,1.349716,0.2850143,0.2227677,1.341067,0.2942636,0.4048646,1.264777,0.1680394,0.1041954,1.289294,0.07216227,-0.108802,1.245177,0.1074906,-0.2403495,1.114816,0.1317343,-0.2895699,1.048535,0.439773,0.1093656,1.410502,0.5453471,-0.04416902,1.54585,0.6776854,-0.2299278,1.560348,0.7403221,-0.2676779,1.515013,0.2472489,-0.2060563,1.277432,0.3273633,-0.5604898,1.045126,0.3882502,-0.8298593,0.8545544,0.42487,-0.8420734,0.7693659,0.369529,-0.2037297,1.321257,0.2088523,-0.5115096,1.06428,0.08673795,-0.7454224,0.8549591,0.1069685,-0.7573574,0.7644298,
22,0.304871,-0.140529,1.307377,0.2842327,-0.08580648,1.349716,0.2850143,0.2227677,1.341067,0.2942636,0.4048646,1.264777,0.1680394,0.1041954,1.289294,0.07216227,-0.108802,1.245177,0.1074906,-0.2403495,1.114816,0.1317343,-0.2895699,1.048535,0.439773,0.1093656,1.410502,0.5453471,-0.04416902,1.54585,0.6776854,-0.2299278,1.560348,0.7403221,-0.2676779,1.515013,0.2472489,-0.2060563,1.277432,0.3273633,-0.5604898,1.045126,0.3882502,-0.8298593,0.8545544,0.42487,-0.8420734,0.7693659,0.369529,-0.2037297,1.321257,0.2088523,-0.5115096,1.06428,0.08673795,-0.7454224,0.8549591,0.1069685,-0.7573574,0.7644298,
37,0.3013583,-0.1383472,1.31194,0.2820718,-0.08355977,1.354748,0.2836057,0.2251833,1.346189,0.2897594,0.4089203,1.270598,0.1616385,0.1104726,1.302668,0.06272875,-0.1031075,1.268393,0.1001933,-0.2386118,1.127014,0.1266273,-0.3087193,1.039536,0.4413436,0.1122334,1.418774,0.5488791,-0.0372912,1.55841,0.6813673,-0.2268014,1.56077,0.7435235,-0.2654008,1.514735,0.2412237,-0.2040755,1.283641,0.3830367,-0.4646604,1.072294,0.5117445,-0.7011642,0.8682175,0.5510517,-0.7088475,0.7832207,0.3675621,-0.2030083,1.32381,0.3800999,-0.4597029,1.06348,0.3914791,-0.6926758,0.8149463,0.4218443,-0.7002134,0.7263478,
44,0.3013583,-0.1383472,1.31194,0.2820718,-0.08355977,1.354748,0.2836057,0.2251833,1.346189,0.2897594,0.4089203,1.270598,0.1616385,0.1104726,1.302668,0.06272875,-0.1031075,1.268393,0.1001933,-0.2386118,1.127014,0.1266273,-0.3087193,1.039536,0.4413436,0.1122334,1.418774,0.5488791,-0.0372912,1.55841,0.6813673,-0.2268014,1.56077,0.7435235,-0.2654008,1.514735,0.2412237,-0.2040755,1.283641,0.3830367,-0.4646604,1.072294,0.5117445,-0.7011642,0.8682175,0.5510517,-0.7088475,0.7832207,0.3675621,-0.2030083,1.32381,0.3800999,-0.4597029,1.06348,0.3914791,-0.6926758,0.8149463,0.4218443,-0.7002134,0.7263478,
73,0.2927988,-0.1353199,1.325389,0.2758705,-0.08023603,1.369102,0.2781469,0.2298773,1.360829,0.2830511,0.4123671,1.283679,0.1485421,0.1194717,1.32564,0.05203133,-0.09505519,1.299998,0.08811751,-0.2500211,1.139769,0.09379691,-0.3055026,1.08734,0.4402645,0.1174171,1.430621,0.5720204,-0.05939613,1.603029,0.6981098,-0.2340205,1.559738,0.7666871,-0.2821471,1.505462,0.2287545,-0.2019451,1.300981,0.3182869,-0.5269089,1.113503,0.3950968,-0.8056955,0.9397973,0.4285269,-0.8193972,0.8525706,0.3617325,-0.202011,1.332856,0.2268632,-0.4903632,1.11337,0.1111587,-0.7377407,0.9122037,0.1271659,-0.7506694,0.8200601,
79,0.2927988,-0.1353199,1.325389,0.2758705,-0.08023603,1.369102,0.2781469,0.2298773,1.360829,0.2830511,0.4123671,1.283679,0.1485421,0.1194717,1.32564,0.05203133,-0.09505519,1.299998,0.08811751,-0.2500211,1.139769,0.09379691,-0.3055026,1.08734,0.4402645,0.1174171,1.430621,0.5720204,-0.05939613,1.603029,0.6981098,-0.2340205,1.559738,0.7666871,-0.2821471,1.505462,0.2287545,-0.2019451,1.300981,0.3182869,-0.5269089,1.113503,0.3950968,-0.8056955,0.9397973,0.4285269,-0.8193972,0.8525706,0.3617325,-0.202011,1.332856,0.2268632,-0.4903632,1.11337,0.1111587,-0.7377407,0.9122037,0.1271659,-0.7506694,0.8200601,
142,0.2867567,-0.1331956,1.339017,0.2702096,-0.07778286,1.382512,0.2739606,0.2322105,1.37255,0.2765239,0.4196835,1.296293,0.1426053,0.1239928,1.340346,0.04403839,-0.09107898,1.326724,0.06964002,-0.2567797,1.164984,0.08265208,-0.3069588,1.101878,0.4366542,0.124598,1.445779,0.5759861,-0.0584585,1.622283,0.7091074,-0.2321374,1.558186,0.7724256,-0.2840714,1.505166,0.2229713,-0.2011237,1.312686,0.3810059,-0.4551269,1.103475,0.5252091,-0.6868995,0.9003202,0.5623518,-0.6945791,0.8135563,0.355261,-0.2004283,1.348374,0.2624107,-0.4880542,1.143922,0.1776867,-0.7505068,0.9451087,0.1966811,-0.7648536,0.8534576,
148,0.2867567,-0.1331956,1.339017,0.2702096,-0.07778286,1.382512,0.2739606,0.2322105,1.37255,0.2765239,0.4196835,1.296293,0.1426053,0.1239928,1.340346,0.04403839,-0.09107898,1.326724,0.06964002,-0.2567797,1.164984,0.08265208,-0.3069588,1.101878,0.4366542,0.124598,1.445779,0.5759861,-0.0584585,1.622283,0.7091074,-0.2321374,1.558186,0.7724256,-0.2840714,1.505166,0.2229713,-0.2011237,1.312686,0.3810059,-0.4551269,1.103475,0.5252091,-0.6868995,0.9003202,0.5623518,-0.6945791,0.8135563,0.355261,-0.2004283,1.348374,0.2624107,-0.4880542,1.143922,0.1776867,-0.7505068,0.9451087,0.1966811,-0.7648536,0.8534576,
192,0.2813367,-0.1307838,1.353935,0.2652499,-0.07530259,1.397391,0.2681588,0.2341807,1.385892,0.2707936,0.423221,1.307214,0.1357834,0.1267396,1.354534,0.03680034,-0.09215771,1.347344,0.04848158,-0.2729367,1.197252,0.06175584,-0.3306212,1.121647,0.4326696,0.1265787,1.456331,0.5784273,-0.05944769,1.63162,0.7121098,-0.2326459,1.555855,0.7736965,-0.2831648,1.502239,0.2174768,-0.1995046,1.326222,0.3838451,-0.4579253,1.105999,0.5306401,-0.6859426,0.8990653,0.5669006,-0.6934289,0.8117225,0.3502955,-0.1991067,1.364966,0.2142687,-0.4733548,1.142966,0.09424558,-0.7153376,0.9344645,0.1090215,-0.7278554,0.8415958,
199,0.2813367,-0.1307838,1.353935,0.2652499,-0.07530259,1.397391,0.2681588,0.2341807,1.385892,0.2707936,0.423221,1.307214,0.1357834,0.1267396,1.354534,0.03680034,-0.09215771,1.347344,0.04848158,-0.2729367,1.197252,0.06175584,-0.3306212,1.121647,0.4326696,0.1265787,1.456331,0.5784273,-0.05944769,1.63162,0.7121098,-0.2326459,1.555855,0.7736965,-0.2831648,1.502239,0.2174768,-0.1995046,1.326222,0.3838451,-0.4579253,1.105999,0.5306401,-0.6859426,0.8990653,0.5669006,-0.6934289,0.8117225,0.3502955,-0.1991067,1.364966,0.2142687,-0.4733548,1.142966,0.09424558,-0.7153376,0.9344645,0.1090215,-0.7278554,0.8415958,
