HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
-0.1148649,-0.09630468,1.937382,-0.1255167,-0.02184602,1.979149,-0.132757,0.3748821,1.969786,-0.1459358,0.5379442,1.976257,-0.2594353,0.1910071,1.893757,-0.3465477,-0.08065638,1.878399,-0.380269,-0.3293241,1.912583,-0.3735865,-0.4117953,1.917954,0.007220721,0.2227043,1.949407,0.120467,-0.02376898,2.058744,0.1124113,-0.1926546,2.192514,0.1097261,-0.2489498,2.241519,-0.1721927,-0.1601713,1.920834,-0.2108548,-0.5273547,2.11445,-0.1912506,-0.8582212,2.2495,-0.1747712,-0.9042017,2.167155,-0.0528858,-0.1545176,1.942036,-0.02130679,-0.4709313,1.899848,0.02369834,-0.8147299,1.746962,0.04017767,-0.8607104,1.664618,
-0.1246917,-0.09801687,1.988476,-0.1342076,-0.02322119,2.029639,-0.1404116,0.3719128,2.014527,-0.1551465,0.5355728,2.024243,-0.2711387,0.1939016,1.945548,-0.3514986,-0.07877377,1.934886,-0.3851573,-0.3272415,1.970247,-0.380593,-0.4171509,1.980979,-0.002155802,0.2209564,1.994916,0.1069229,-0.02829112,2.101617,0.1249393,-0.2174247,2.206537,0.1309447,-0.2804692,2.245922,-0.1825979,-0.1629389,1.973863,-0.2147559,-0.531071,2.167066,-0.1919738,-0.8667859,2.305336,-0.1774606,-0.9126027,2.223341,-0.06259168,-0.1555787,1.992289,-0.03146315,-0.4718794,1.96259,0.025521,-0.8104233,1.802938,0.0400342,-0.8562401,1.720943,
-0.1371445,-0.09226363,2.042162,-0.1477104,-0.01718842,2.082706,-0.1609422,0.3792737,2.067332,-0.1697391,0.5423732,2.070937,-0.285839,0.1982478,1.995503,-0.3638284,-0.07968426,1.993237,-0.3942083,-0.3257198,2.03388,-0.3861341,-0.4150973,2.046648,-0.01585272,0.2311284,2.044094,0.09160957,-0.02217023,2.14357,0.09841856,-0.2005644,2.264827,0.1006882,-0.2600291,2.309662,-0.194414,-0.1592065,2.02988,-0.2105685,-0.5240669,2.231025,-0.1944651,-0.8734695,2.324498,-0.1804937,-0.9190301,2.242865,-0.07366905,-0.1482891,2.044426,-0.04179287,-0.4833287,2.031181,0.03306336,-0.7972867,1.870704,0.04703481,-0.8428473,1.789072,
-0.1433233,-0.08365394,2.09206,-0.1529801,-0.007155702,2.130408,-0.168385,0.3892597,2.106184,-0.1823427,0.5532293,2.114673,-0.2969456,0.2122411,2.043722,-0.3741083,-0.07343726,2.048747,-0.3994169,-0.312462,2.099043,-0.3950243,-0.402466,2.108768,-0.02474242,0.2389366,2.083761,0.08357296,-0.01348892,2.183582,0.1036279,-0.2057124,2.282216,0.1103129,-0.269787,2.319515,-0.2003881,-0.1531647,2.082822,-0.2055213,-0.5190861,2.283595,-0.1946744,-0.8748479,2.338845,-0.1831785,-0.9205502,2.257388,-0.07954665,-0.1371438,2.093106,-0.04093629,-0.4752154,2.103019,0.002272815,-0.7277353,1.985566,-0.01872525,-0.7489944,1.911366,
-0.1433233,-0.08365394,2.09206,-0.1529801,-0.007155702,2.130408,-0.168385,0.3892597,2.106184,-0.1823427,0.5532293,2.114673,-0.2969456,0.2122411,2.043722,-0.3741083,-0.07343726,2.048747,-0.3994169,-0.312462,2.099043,-0.3950243,-0.402466,2.108768,-0.02474242,0.2389366,2.083761,0.08357296,-0.01348892,2.183582,0.1036279,-0.2057124,2.282216,0.1103129,-0.269787,2.319515,-0.2003881,-0.1531647,2.082822,-0.2055213,-0.5190861,2.283595,-0.1946744,-0.8748479,2.338845,-0.1831785,-0.9205502,2.257388,-0.07954665,-0.1371438,2.093106,-0.04093629,-0.4752154,2.103019,0.002272815,-0.7277353,1.985566,-0.01872525,-0.7489944,1.911366,
-0.1485214,-0.07772569,2.132154,-0.1584786,-0.0004549245,2.167306,-0.1777387,0.3993487,2.142927,-0.1963392,0.5646708,2.160548,-0.3082963,0.2199027,2.085065,-0.3792689,-0.06024091,2.105162,-0.4079967,-0.3091264,2.170334,-0.4052753,-0.3955145,2.176362,-0.03548454,0.2525885,2.125398,0.06706063,-0.001557201,2.228132,0.1069483,-0.2248622,2.314338,0.1174297,-0.3116807,2.339314,-0.2063273,-0.1479978,2.124621,-0.2127728,-0.5260507,2.304272,-0.1983692,-0.8790525,2.354546,-0.1869247,-0.924656,2.273503,-0.08322667,-0.1312556,2.134546,-0.03645946,-0.48757,2.174318,-0.01303232,-0.7384267,2.047377,-0.01747589,-0.7647392,1.97234,
-0.1551203,-0.06737936,2.177027,-0.1649699,0.01159696,2.212563,-0.1869441,0.418769,2.189338,-0.2016392,0.5844269,2.203917,-0.3139767,0.2314502,2.125037,-0.3879018,-0.04797504,2.161229,-0.4152766,-0.2835948,2.235122,-0.4120018,-0.3718503,2.258187,-0.04150787,0.2633052,2.161146,0.06089363,0.006831855,2.261017,0.1117861,-0.2270051,2.324965,0.1194044,-0.3162116,2.342738,-0.2128878,-0.1358165,2.174443,-0.1932818,-0.5286863,2.323215,-0.1993819,-0.8845593,2.361556,-0.1892106,-0.9302117,2.280179,-0.08906075,-0.1223513,2.171857,-0.06420464,-0.4888171,2.256314,-0.02344806,-0.725876,2.104313,-0.01327673,-0.7715285,2.022935,
-0.1551203,-0.06737936,2.177027,-0.1649699,0.01159696,2.212563,-0.1869441,0.418769,2.189338,-0.2016392,0.5844269,2.203917,-0.3139767,0.2314502,2.125037,-0.3879018,-0.04797504,2.161229,-0.4152766,-0.2835948,2.235122,-0.4120018,-0.3718503,2.258187,-0.04150787,0.2633052,2.161146,0.06089363,0.006831855,2.261017,0.1117861,-0.2270051,2.324965,0.1194044,-0.3162116,2.342738,-0.2128878,-0.1358165,2.174443,-0.1932818,-0.5286863,2.323215,-0.1993819,-0.8845593,2.361556,-0.1892106,-0.9302117,2.280179,-0.08906075,-0.1223513,2.171857,-0.06420464,-0.4888171,2.256314,-0.02344806,-0.725876,2.104313,-0.01327673,-0.7715285,2.022935,
-0.1598392,-0.05399662,2.216218,-0.1697345,0.02506278,2.248707,-0.1945056,0.4325049,2.224967,-0.2089841,0.5999115,2.251241,-0.3266188,0.2414622,2.164211,-0.398404,-0.02383815,2.210418,-0.4196475,-0.2560557,2.308503,-0.4236192,-0.3448349,2.330536,-0.04946309,0.2771445,2.199884,0.05744781,0.01541591,2.28589,0.1147683,-0.2270826,2.338242,0.1223482,-0.3180223,2.345693,-0.216998,-0.1240107,2.207379,-0.2010874,-0.5240977,2.341074,-0.2011635,-0.891291,2.368205,-0.1912888,-0.9371502,2.286688,-0.09371119,-0.1093083,2.220314,-0.0704601,-0.4970295,2.334307,-0.02989902,-0.7427993,2.165299,-0.02002433,-0.7886584,2.083782,
-0.1598392,-0.05399662,2.216218,-0.1697345,0.02506278,2.248707,-0.1945056,0.4325049,2.224967,-0.2089841,0.5999115,2.251241,-0.3266188,0.2414622,2.164211,-0.398404,-0.02383815,2.210418,-0.4196475,-0.2560557,2.308503,-0.4236192,-0.3448349,2.330536,-0.04946309,0.2771445,2.199884,0.05744781,0.01541591,2.28589,0.1147683,-0.2270826,2.338242,0.1223482,-0.3180223,2.345693,-0.216998,-0.1240107,2.207379,-0.2010874,-0.5240977,2.341074,-0.2011635,-0.891291,2.368205,-0.1912888,-0.9371502,2.286688,-0.09371119,-0.1093083,2.220314,-0.0704601,-0.4970295,2.334307,-0.02989902,-0.7427993,2.165299,-0.02002433,-0.7886584,2.083782,
