HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
1.291348,0.04343938,3.117267,1.297421,0.1213841,3.100632,1.327786,0.5111075,3.034511,1.21588,0.7232263,3.046519,1.252304,0.3589289,3.153973,1.222618,0.1838863,3.128625,1.261817,-0.03578578,3.203626,1.292688,-0.03161534,3.303485,1.351957,0.3592287,2.938187,1.369339,0.1206646,2.888649,1.274341,-0.09611046,2.915796,1.207234,-0.2364054,2.939179,1.265643,0.001230861,3.159831,1.32198,-0.4875486,3.334942,1.676026,-0.8934403,3.403949,1.60847,-0.9678413,3.400085,1.310487,0.001365763,3.087103,1.337312,-0.5217673,3.150852,1.417722,-0.9026747,3.233025,1.354612,-0.9615278,3.250558,
1.291348,0.04343938,3.117267,1.297421,0.1213841,3.100632,1.327786,0.5111075,3.034511,1.21588,0.7232263,3.046519,1.252304,0.3589289,3.153973,1.222618,0.1838863,3.128625,1.261817,-0.03578578,3.203626,1.292688,-0.03161534,3.303485,1.351957,0.3592287,2.938187,1.369339,0.1206646,2.888649,1.274341,-0.09611046,2.915796,1.207234,-0.2364054,2.939179,1.265643,0.001230861,3.159831,1.32198,-0.4875486,3.334942,1.676026,-0.8934403,3.403949,1.60847,-0.9678413,3.400085,1.310487,0.001365763,3.087103,1.337312,-0.5217673,3.150852,1.417722,-0.9026747,3.233025,1.354612,-0.9615278,3.250558,
1.265018,0.0405257,3.104152,1.27037,0.1184899,3.089354,1.295142,0.5081245,3.032178,1.206281,0.7303776,3.042433,1.209818,0.3577268,3.165503,1.194552,0.07837126,3.122272,1.221436,-0.1224889,3.151088,1.229231,-0.1859175,3.249005,1.305605,0.3565183,2.927881,1.318951,0.1005787,2.882114,1.180328,-0.1361614,2.925246,1.121063,-0.1990584,2.924454,1.240854,-0.002959908,3.148331,1.228503,-0.4683317,3.32179,1.573173,-0.8704152,3.35286,1.585018,-0.9492913,3.38712,1.2826,-0.003757704,3.070293,1.336394,-0.5218936,3.151047,1.414125,-0.8990519,3.229441,1.355912,-0.9611832,3.249429,
1.265018,0.0405257,3.104152,1.27037,0.1184899,3.089354,1.295142,0.5081245,3.032178,1.206281,0.7303776,3.042433,1.209818,0.3577268,3.165503,1.194552,0.07837126,3.122272,1.221436,-0.1224889,3.151088,1.229231,-0.1859175,3.249005,1.305605,0.3565183,2.927881,1.318951,0.1005787,2.882114,1.180328,-0.1361614,2.925246,1.121063,-0.1990584,2.924454,1.240854,-0.002959908,3.148331,1.228503,-0.4683317,3.32179,1.573173,-0.8704152,3.35286,1.585018,-0.9492913,3.38712,1.2826,-0.003757704,3.070293,1.336394,-0.5218936,3.151047,1.414125,-0.8990519,3.229441,1.355912,-0.9611832,3.249429,
1.223877,0.03268359,3.096728,1.23009,0.1138173,3.083177,1.258819,0.5182995,3.031944,1.143996,0.729144,3.056511,1.180978,0.367341,3.166394,1.151562,0.07446623,3.15624,1.186737,-0.1162904,3.241499,1.199987,-0.1694398,3.338874,1.279702,0.3598348,2.923812,1.286136,0.1029474,2.876679,1.123707,-0.1345581,2.927035,1.050213,-0.1705184,2.915864,1.198488,-0.008404937,3.138283,1.193732,-0.510623,3.32927,1.346971,-0.9147381,3.353267,1.327201,-0.9750918,3.398998,1.244026,-0.0118516,3.064144,1.328542,-0.5426785,3.168114,1.414253,-0.9015889,3.230248,1.357077,-0.9617199,3.250598,
1.223877,0.03268359,3.096728,1.23009,0.1138173,3.083177,1.258819,0.5182995,3.031944,1.143996,0.729144,3.056511,1.180978,0.367341,3.166394,1.151562,0.07446623,3.15624,1.186737,-0.1162904,3.241499,1.199987,-0.1694398,3.338874,1.279702,0.3598348,2.923812,1.286136,0.1029474,2.876679,1.123707,-0.1345581,2.927035,1.050213,-0.1705184,2.915864,1.198488,-0.008404937,3.138283,1.193732,-0.510623,3.32927,1.346971,-0.9147381,3.353267,1.327201,-0.9750918,3.398998,1.244026,-0.0118516,3.064144,1.328542,-0.5426785,3.168114,1.414253,-0.9015889,3.230248,1.357077,-0.9617199,3.250598,
1.180219,0.05563848,3.089784,1.185402,0.13195,3.077235,1.207863,0.5148363,3.031222,1.130944,0.6999831,3.058415,1.127365,0.3650558,3.16586,1.10441,0.1624605,3.092463,1.153283,0.004741311,3.206555,1.165892,-0.04583615,3.299217,1.229481,0.3654737,2.919118,1.232126,0.1096344,2.871153,1.095333,-0.07328581,2.89624,1.019532,-0.1458538,2.913317,1.156368,0.008544643,3.134863,1.136462,-0.5317377,3.319262,1.280093,-0.9216897,3.333565,1.196983,-0.9628574,3.390594,1.20057,0.009411897,3.05384,1.308363,-0.5255137,3.146683,1.397174,-0.8986402,3.238083,1.344786,-0.9698824,3.24479,
1.180219,0.05563848,3.089784,1.185402,0.13195,3.077235,1.207863,0.5148363,3.031222,1.130944,0.6999831,3.058415,1.127365,0.3650558,3.16586,1.10441,0.1624605,3.092463,1.153283,0.004741311,3.206555,1.165892,-0.04583615,3.299217,1.229481,0.3654737,2.919118,1.232126,0.1096344,2.871153,1.095333,-0.07328581,2.89624,1.019532,-0.1458538,2.913317,1.156368,0.008544643,3.134863,1.136462,-0.5317377,3.319262,1.280093,-0.9216897,3.333565,1.196983,-0.9628574,3.390594,1.20057,0.009411897,3.05384,1.308363,-0.5255137,3.146683,1.397174,-0.8986402,3.238083,1.344786,-0.9698824,3.24479,
1.153666,0.05638184,3.081702,1.157611,0.1326697,3.07053,1.177669,0.5143632,3.032253,1.085504,0.6756244,3.068594,1.079752,0.3462973,3.140812,1.051201,0.1476428,3.082172,1.105676,0.002284557,3.199215,1.117957,-0.04697453,3.289463,1.197826,0.3638746,2.917085,1.18614,0.1017467,2.866558,1.021485,-0.07691247,2.881454,0.9376318,-0.1375994,2.884204,1.12379,0.008104952,3.121994,1.064465,-0.5149595,3.297206,1.138535,-0.9072058,3.332404,1.03914,-0.9440372,3.339367,1.17675,0.0138869,3.047422,1.299976,-0.520579,3.145777,1.3949,-0.8979043,3.23381,1.355628,-0.9668285,3.252347,
1.153666,0.05638184,3.081702,1.157611,0.1326697,3.07053,1.177669,0.5143632,3.032253,1.085504,0.6756244,3.068594,1.079752,0.3462973,3.140812,1.051201,0.1476428,3.082172,1.105676,0.002284557,3.199215,1.117957,-0.04697453,3.289463,1.197826,0.3638746,2.917085,1.18614,0.1017467,2.866558,1.021485,-0.07691247,2.881454,0.9376318,-0.1375994,2.884204,1.12379,0.008104952,3.121994,1.064465,-0.5149595,3.297206,1.138535,-0.9072058,3.332404,1.03914,-0.9440372,3.339367,1.17675,0.0138869,3.047422,1.299976,-0.520579,3.145777,1.3949,-0.8979043,3.23381,1.355628,-0.9668285,3.252347,
