HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
-0.7224433,-0.02176401,2.278687,-0.7379426,0.0460684,2.271501,-0.8154393,0.3852305,2.25134,-0.7252169,0.572975,2.266813,-0.8166289,0.2311643,2.138751,-0.8385118,-0.003593311,2.09107,-0.7640661,-0.2569448,2.120633,-0.7713001,-0.3234472,2.11605,-0.7112237,0.2257036,2.359974,-0.6745623,-0.08348846,2.410327,-0.6524557,-0.2510853,2.563299,-0.6207081,-0.3304634,2.593642,-0.7328089,-0.07896392,2.225693,-0.6089725,-0.400593,2.291312,-0.869099,-0.6819503,2.347393,-0.7869421,-0.7562253,2.371726,-0.6853766,-0.08142123,2.335829,-0.6559438,-0.5581697,2.346412,-0.9682577,-0.7840925,2.390897,-0.8681115,-0.8346386,2.407465,
-0.7224433,-0.02176401,2.278687,-0.7379426,0.0460684,2.271501,-0.8154393,0.3852305,2.25134,-0.7252169,0.572975,2.266813,-0.8166289,0.2311643,2.138751,-0.8385118,-0.003593311,2.09107,-0.7640661,-0.2569448,2.120633,-0.7713001,-0.3234472,2.11605,-0.7112237,0.2257036,2.359974,-0.6745623,-0.08348846,2.410327,-0.6524557,-0.2510853,2.563299,-0.6207081,-0.3304634,2.593642,-0.7328089,-0.07896392,2.225693,-0.6089725,-0.400593,2.291312,-0.869099,-0.6819503,2.347393,-0.7869421,-0.7562253,2.371726,-0.6853766,-0.08142123,2.335829,-0.6559438,-0.5581697,2.346412,-0.9682577,-0.7840925,2.390897,-0.8681115,-0.8346386,2.407465,
-0.689394,-0.04603599,2.251297,-0.703756,0.02621815,2.248829,-0.7686865,0.3827578,2.246904,-0.6976186,0.5747207,2.269055,-0.7720709,0.2305013,2.135999,-0.7894025,0.0007132212,2.092699,-0.7454472,-0.2584046,2.122386,-0.7325422,-0.3401388,2.111568,-0.6835134,0.243185,2.360293,-0.6352272,0.05076061,2.33875,-0.6292983,-0.1715765,2.475988,-0.610726,-0.2773147,2.534029,-0.6998664,-0.1067584,2.196288,-0.6014544,-0.4575765,2.295053,-0.8736192,-0.7127534,2.360044,-0.7903439,-0.7818664,2.385381,-0.660211,-0.09788848,2.306446,-0.6499177,-0.5707244,2.34662,-0.9523224,-0.7951333,2.395804,-0.8701101,-0.8377474,2.368125,
-0.689394,-0.04603599,2.251297,-0.703756,0.02621815,2.248829,-0.7686865,0.3827578,2.246904,-0.6976186,0.5747207,2.269055,-0.7720709,0.2305013,2.135999,-0.7894025,0.0007132212,2.092699,-0.7454472,-0.2584046,2.122386,-0.7325422,-0.3401388,2.111568,-0.6835134,0.243185,2.360293,-0.6352272,0.05076061,2.33875,-0.6292983,-0.1715765,2.475988,-0.610726,-0.2773147,2.534029,-0.6998664,-0.1067584,2.196288,-0.6014544,-0.4575765,2.295053,-0.8736192,-0.7127534,2.360044,-0.7903439,-0.7818664,2.385381,-0.660211,-0.09788848,2.306446,-0.6499177,-0.5707244,2.34662,-0.9523224,-0.7951333,2.395804,-0.8701101,-0.8377474,2.368125,
-0.6359681,-0.03395478,2.286403,-0.6511078,0.03637959,2.276672,-0.7332578,0.387236,2.244398,-0.6445189,0.5720304,2.266667,-0.7348855,0.2344765,2.133598,-0.7487127,0.00104466,2.086085,-0.7042719,-0.1927591,2.104054,-0.6881385,-0.2837921,2.101532,-0.6341457,0.2413338,2.350451,-0.6037437,0.05805802,2.328826,-0.6022348,-0.1451089,2.463835,-0.5919831,-0.2696497,2.52588,-0.6475061,-0.08102024,2.247948,-0.5952295,-0.4621756,2.295776,-0.8493433,-0.7310411,2.374814,-0.7660215,-0.8010154,2.398222,-0.6047724,-0.07821234,2.33121,-0.6425751,-0.5680817,2.34699,-0.9295025,-0.8075559,2.4116,-0.8490484,-0.8506389,2.379394,
-0.6359681,-0.03395478,2.286403,-0.6511078,0.03637959,2.276672,-0.7332578,0.387236,2.244398,-0.6445189,0.5720304,2.266667,-0.7348855,0.2344765,2.133598,-0.7487127,0.00104466,2.086085,-0.7042719,-0.1927591,2.104054,-0.6881385,-0.2837921,2.101532,-0.6341457,0.2413338,2.350451,-0.6037437,0.05805802,2.328826,-0.6022348,-0.1451089,2.463835,-0.5919831,-0.2696497,2.52588,-0.6475061,-0.08102024,2.247948,-0.5952295,-0.4621756,2.295776,-0.8493433,-0.7310411,2.374814,-0.7660215,-0.8010154,2.398222,-0.6047724,-0.07821234,2.33121,-0.6425751,-0.5680817,2.34699,-0.9295025,-0.8075559,2.4116,-0.8490484,-0.8506389,2.379394,
-0.6101919,-0.05640231,2.294307,-0.6261494,0.01979053,2.283033,-0.6939327,0.394102,2.245154,-0.6135873,0.5827833,2.267152,-0.6966389,0.2396223,2.136494,-0.7151606,0.007983268,2.086455,-0.6596358,-0.2004125,2.098631,-0.6501302,-0.2904734,2.114203,-0.6040546,0.2397735,2.352095,-0.5589465,0.06698054,2.322703,-0.5459982,-0.1418123,2.396046,-0.5454575,-0.2110195,2.456494,-0.6235209,-0.1028249,2.255027,-0.5600488,-0.5195588,2.331471,-0.5987616,-0.8906316,2.399471,-0.5496272,-0.9751319,2.449003,-0.5785251,-0.1045582,2.341329,-0.5093454,-0.4980797,2.484982,-0.7936241,-0.7573488,2.458565,-0.7134657,-0.7998303,2.429415,
-0.6101919,-0.05640231,2.294307,-0.6261494,0.01979053,2.283033,-0.6939327,0.394102,2.245154,-0.6135873,0.5827833,2.267152,-0.6966389,0.2396223,2.136494,-0.7151606,0.007983268,2.086455,-0.6596358,-0.2004125,2.098631,-0.6501302,-0.2904734,2.114203,-0.6040546,0.2397735,2.352095,-0.5589465,0.06698054,2.322703,-0.5459982,-0.1418123,2.396046,-0.5454575,-0.2110195,2.456494,-0.6235209,-0.1028249,2.255027,-0.5600488,-0.5195588,2.331471,-0.5987616,-0.8906316,2.399471,-0.5496272,-0.9751319,2.449003,-0.5785251,-0.1045582,2.341329,-0.5093454,-0.4980797,2.484982,-0.7936241,-0.7573488,2.458565,-0.7134657,-0.7998303,2.429415,
-0.5894678,-0.05126359,2.279853,-0.6019655,0.02437364,2.27128,-0.6608843,0.4008074,2.24751,-0.5704976,0.5850421,2.268238,-0.6653721,0.2492386,2.137846,-0.6652626,0.01306449,2.090501,-0.6042781,-0.2123627,2.118261,-0.6003868,-0.3385982,2.123372,-0.5644624,0.2459474,2.354828,-0.5306969,0.07402469,2.324233,-0.5031188,-0.1329421,2.367445,-0.4876992,-0.1953172,2.38405,-0.6023517,-0.09906355,2.236385,-0.5549414,-0.5422366,2.329246,-0.6005631,-0.9074354,2.400265,-0.5466342,-0.9880046,2.453767,-0.5597908,-0.1014355,2.327211,-0.4720996,-0.4968807,2.476261,-0.7374834,-0.7756943,2.466075,-0.6575549,-0.8189778,2.434296,
-0.5894678,-0.05126359,2.279853,-0.6019655,0.02437364,2.27128,-0.6608843,0.4008074,2.24751,-0.5704976,0.5850421,2.268238,-0.6653721,0.2492386,2.137846,-0.6652626,0.01306449,2.090501,-0.6042781,-0.2123627,2.118261,-0.6003868,-0.3385982,2.123372,-0.5644624,0.2459474,2.354828,-0.5306969,0.07402469,2.324233,-0.5031188,-0.1329421,2.367445,-0.4876992,-0.1953172,2.38405,-0.6023517,-0.09906355,2.236385,-0.5549414,-0.5422366,2.329246,-0.6005631,-0.9074354,2.400265,-0.5466342,-0.9880046,2.453767,-0.5597908,-0.1014355,2.327211,-0.4720996,-0.4968807,2.476261,-0.7374834,-0.7756943,2.466075,-0.6575549,-0.8189778,2.434296,
