HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
-0.2781899,0.2057478,3.735486,-0.2773246,0.2787041,3.727376,-0.2729982,0.6434857,3.703581,-0.2531889,0.8121748,3.625397,-0.4243168,0.5370584,3.691572,-0.5094247,0.2513799,3.734563,-0.530226,0.01640855,3.730845,-0.5496265,-0.03644656,3.710206,-0.1214927,0.5546078,3.762385,-0.05887938,0.3357522,3.837267,-0.01439599,0.02000758,3.842617,-0.03149563,0.01604688,3.836141,-0.3471507,0.1322057,3.724441,-0.3816118,-0.2297508,3.748808,-0.3746746,-0.4835154,3.789488,-0.355607,-0.5325767,3.710858,-0.2108799,0.1401029,3.752317,-0.2132469,-0.3517557,3.790656,-0.2438467,-0.7025992,3.811681,-0.2247792,-0.7516605,3.733051,
-0.2781899,0.2057478,3.735486,-0.2773246,0.2787041,3.727376,-0.2729982,0.6434857,3.703581,-0.2531889,0.8121748,3.625397,-0.4243168,0.5370584,3.691572,-0.5094247,0.2513799,3.734563,-0.530226,0.01640855,3.730845,-0.5496265,-0.03644656,3.710206,-0.1214927,0.5546078,3.762385,-0.05887938,0.3357522,3.837267,-0.01439599,0.02000758,3.842617,-0.03149563,0.01604688,3.836141,-0.3471507,0.1322057,3.724441,-0.3816118,-0.2297508,3.748808,-0.3746746,-0.4835154,3.789488,-0.355607,-0.5325767,3.710858,-0.2108799,0.1401029,3.752317,-0.2132469,-0.3517557,3.790656,-0.2438467,-0.7025992,3.811681,-0.2247792,-0.7516605,3.733051,
-0.2795192,0.2141246,3.706679,-0.279207,0.2864157,3.699426,-0.2774134,0.6481844,3.679359,-0.2543992,0.8233697,3.606452,-0.4215511,0.548054,3.663914,-0.5095795,0.2595683,3.711461,-0.5470648,0.01568986,3.680949,-0.5522051,-0.06996553,3.701096,-0.1190367,0.5542949,3.709807,-0.04912098,0.2924839,3.802958,-0.02489604,-0.001057906,3.788349,-0.01682106,-0.09890516,3.788019,-0.347775,0.1439691,3.691186,-0.3827329,-0.2962368,3.69072,-0.4109844,-0.5403366,3.713768,-0.3980438,-0.591696,3.629428,-0.2117914,0.1455257,3.726374,-0.2109085,-0.3532524,3.776273,-0.2408334,-0.6861094,3.807634,-0.2278928,-0.7374688,3.723294,
-0.2795192,0.2141246,3.706679,-0.279207,0.2864157,3.699426,-0.2774134,0.6481844,3.679359,-0.2543992,0.8233697,3.606452,-0.4215511,0.548054,3.663914,-0.5095795,0.2595683,3.711461,-0.5470648,0.01568986,3.680949,-0.5522051,-0.06996553,3.701096,-0.1190367,0.5542949,3.709807,-0.04912098,0.2924839,3.802958,-0.02489604,-0.001057906,3.788349,-0.01682106,-0.09890516,3.788019,-0.347775,0.1439691,3.691186,-0.3827329,-0.2962368,3.69072,-0.4109844,-0.5403366,3.713768,-0.3980438,-0.591696,3.629428,-0.2117914,0.1455257,3.726374,-0.2109085,-0.3532524,3.776273,-0.2408334,-0.6861094,3.807634,-0.2278928,-0.7374688,3.723294,
-0.2734321,0.2187505,3.65185,-0.2732947,0.290089,3.644546,-0.272608,0.6467819,3.624621,-0.2506661,0.8245404,3.557268,-0.427048,0.5459188,3.616779,-0.509371,0.2648931,3.684761,-0.5466908,0.0150636,3.688261,-0.5464214,-0.07599305,3.719679,-0.1189036,0.5484379,3.677428,-0.04074389,0.2651512,3.762193,-0.02554749,0.008900013,3.673615,-0.03155754,-0.06037031,3.688927,-0.342944,0.1471202,3.63725,-0.3770424,-0.3365418,3.612449,-0.3845634,-0.6463027,3.875842,-0.3693953,-0.692647,3.800317,-0.2041949,0.1476573,3.671001,-0.2032529,-0.3492926,3.759123,-0.2456795,-0.7632454,3.816,-0.2305115,-0.8095897,3.740475,
-0.2734321,0.2187505,3.65185,-0.2732947,0.290089,3.644546,-0.272608,0.6467819,3.624621,-0.2506661,0.8245404,3.557268,-0.427048,0.5459188,3.616779,-0.509371,0.2648931,3.684761,-0.5466908,0.0150636,3.688261,-0.5464214,-0.07599305,3.719679,-0.1189036,0.5484379,3.677428,-0.04074389,0.2651512,3.762193,-0.02554749,0.008900013,3.673615,-0.03155754,-0.06037031,3.688927,-0.342944,0.1471202,3.63725,-0.3770424,-0.3365418,3.612449,-0.3845634,-0.6463027,3.875842,-0.3693953,-0.692647,3.800317,-0.2041949,0.1476573,3.671001,-0.2032529,-0.3492926,3.759123,-0.2456795,-0.7632454,3.816,-0.2305115,-0.8095897,3.740475,
-0.2652009,0.2187179,3.605853,-0.2657263,0.2918561,3.595385,-0.2695767,0.6575518,3.566626,-0.2480872,0.8317878,3.4912,-0.4271254,0.5492347,3.58013,-0.5057045,0.2733893,3.662571,-0.552217,0.02425334,3.671359,-0.5502959,-0.07293485,3.690089,-0.1052204,0.5495811,3.614767,-0.02893525,0.2790219,3.690879,-0.008526351,0.02734149,3.645987,-0.01609738,-0.06579523,3.613302,-0.3378621,0.1459719,3.605838,-0.3789217,-0.3598167,3.560006,-0.3844675,-0.7400327,3.784698,-0.3857633,-0.8389601,3.788938,-0.1917555,0.145608,3.61896,-0.2008703,-0.3508093,3.750903,-0.2475115,-0.7573692,3.814453,-0.2389444,-0.8071545,3.733717,
-0.2652009,0.2187179,3.605853,-0.2657263,0.2918561,3.595385,-0.2695767,0.6575518,3.566626,-0.2480872,0.8317878,3.4912,-0.4271254,0.5492347,3.58013,-0.5057045,0.2733893,3.662571,-0.552217,0.02425334,3.671359,-0.5502959,-0.07293485,3.690089,-0.1052204,0.5495811,3.614767,-0.02893525,0.2790219,3.690879,-0.008526351,0.02734149,3.645987,-0.01609738,-0.06579523,3.613302,-0.3378621,0.1459719,3.605838,-0.3789217,-0.3598167,3.560006,-0.3844675,-0.7400327,3.784698,-0.3857633,-0.8389601,3.788938,-0.1917555,0.145608,3.61896,-0.2008703,-0.3508093,3.750903,-0.2475115,-0.7573692,3.814453,-0.2389444,-0.8071545,3.733717,
-0.267865,0.2178411,3.56593,-0.2676873,0.2894736,3.559094,-0.267682,0.6478929,3.534923,-0.249654,0.8229453,3.466739,-0.4214642,0.5454526,3.527781,-0.5046084,0.2690206,3.640364,-0.5526502,0.02010149,3.656373,-0.5481017,-0.07936434,3.663063,-0.09878173,0.5472061,3.573293,-0.02269517,0.2918691,3.651613,-0.01381151,0.04772069,3.564076,-0.02213583,-0.03628238,3.510849,-0.3410762,0.1437602,3.55268,-0.3704037,-0.3577488,3.476396,-0.3629778,-0.746427,3.660658,-0.3771487,-0.8413649,3.612808,-0.1950299,0.1446246,3.582895,-0.1985497,-0.347032,3.727351,-0.2477128,-0.7571357,3.814547,-0.253384,-0.8355142,3.796969,
-0.267865,0.2178411,3.56593,-0.2676873,0.2894736,3.559094,-0.267682,0.6478929,3.534923,-0.249654,0.8229453,3.466739,-0.4214642,0.5454526,3.527781,-0.5046084,0.2690206,3.640364,-0.5526502,0.02010149,3.656373,-0.5481017,-0.07936434,3.663063,-0.09878173,0.5472061,3.573293,-0.02269517,0.2918691,3.651613,-0.01381151,0.04772069,3.564076,-0.02213583,-0.03628238,3.510849,-0.3410762,0.1437602,3.55268,-0.3704037,-0.3577488,3.476396,-0.3629778,-0.746427,3.660658,-0.3771487,-0.8413649,3.612808,-0.1950299,0.1446246,3.582895,-0.1985497,-0.347032,3.727351,-0.2477128,-0.7571357,3.814547,-0.253384,-0.8355142,3.796969,
