Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
0,-0.2046364,-0.3172739,1.181183,-0.1800109,-0.2654424,1.148066,-0.06738593,-0.02723267,0.9982209,-0.1790718,0.08462436,0.9449233,-0.2341321,-0.1155846,1.003217,-0.4127295,-0.1594782,0.9040251,-0.2894589,-0.3162325,0.8947796,-0.2499206,-0.3627649,0.8804134,-0.02056159,-0.03299439,1.020614,0.1116863,-0.1785031,1.03185,0.06077718,0.05223849,1.016617,0.04380748,0.1291524,1.015287,-0.2825634,-0.3482342,1.21365,-0.01101613,-0.5613398,1.131112,0.2191008,-0.7419316,1.048625,0.2555799,-0.7962033,0.9903101,-0.1698921,-0.3641103,1.191427,-0.1251276,-0.7119304,1.215571,-0.08719289,-1.006683,1.22349,-0.06327645,-1.072478,1.170804,
0,-0.2054157,-0.3094154,1.181637,-0.1808134,-0.2597047,1.150296,-0.06244928,-0.02051492,1.009413,-0.1769011,0.08380236,0.9488372,-0.2233333,-0.05794349,0.9783942,-0.392604,-0.1600376,0.9309067,-0.2896074,-0.3297877,0.902387,-0.2510208,-0.3764711,0.8861134,-0.01778381,-0.02940504,1.030144,0.1095612,-0.1806073,1.033435,0.05625632,0.05300057,1.023145,0.03848803,0.1308699,1.023463,-0.2796498,-0.3321693,1.214972,-0.02468836,-0.5658094,1.136215,0.1914062,-0.7638328,1.056925,0.2259938,-0.8181608,0.997516,-0.1716105,-0.3606647,1.190998,-0.1234377,-0.70692,1.223779,-0.08260855,-1.000391,1.239023,-0.05928842,-1.065715,1.185486,
6,-0.2054157,-0.3094154,1.181637,-0.1808134,-0.2597047,1.150296,-0.06244928,-0.02051492,1.009413,-0.1769011,0.08380236,0.9488372,-0.2233333,-0.05794349,0.9783942,-0.392604,-0.1600376,0.9309067,-0.2896074,-0.3297877,0.902387,-0.2510208,-0.3764711,0.8861134,-0.01778381,-0.02940504,1.030144,0.1095612,-0.1806073,1.033435,0.05625632,0.05300057,1.023145,0.03848803,0.1308699,1.023463,-0.2796498,-0.3321693,1.214972,-0.02468836,-0.5658094,1.136215,0.1914062,-0.7638328,1.056925,0.2259938,-0.8181608,0.997516,-0.1716105,-0.3606647,1.190998,-0.1234377,-0.70692,1.223779,-0.08260855,-1.000391,1.239023,-0.05928842,-1.065715,1.185486,
41,-0.2100016,-0.2944029,1.17638,-0.184901,-0.2470606,1.1477,-0.06226681,-0.0135007,1.011638,-0.1724574,0.09152243,0.9485925,-0.2205767,-0.041123,0.9701585,-0.3837659,-0.1549634,0.9388584,-0.2941072,-0.3316707,0.9073326,-0.2560148,-0.3786731,0.890867,-0.01817054,-0.02845382,1.033838,0.1079313,-0.180664,1.036393,0.05388111,0.05339922,1.026208,0.03586438,0.1314203,1.02656,-0.2821638,-0.3039014,1.203076,-0.04680091,-0.5633271,1.155099,0.1527299,-0.7832575,1.101891,0.186919,-0.8397074,1.044253,-0.1767356,-0.3528067,1.18738,-0.1197744,-0.697332,1.222019,-0.07148513,-0.9894061,1.23885,-0.04722478,-1.054656,1.185638,
47,-0.2100016,-0.2944029,1.17638,-0.184901,-0.2470606,1.1477,-0.06226681,-0.0135007,1.011638,-0.1724574,0.09152243,0.9485925,-0.2205767,-0.041123,0.9701585,-0.3837659,-0.1549634,0.9388584,-0.2941072,-0.3316707,0.9073326,-0.2560148,-0.3786731,0.890867,-0.01817054,-0.02845382,1.033838,0.1079313,-0.180664,1.036393,0.05388111,0.05339922,1.026208,0.03586438,0.1314203,1.02656,-0.2821638,-0.3039014,1.203076,-0.04680091,-0.5633271,1.155099,0.1527299,-0.7832575,1.101891,0.186919,-0.8397074,1.044253,-0.1767356,-0.3528067,1.18738,-0.1197744,-0.697332,1.222019,-0.07148513,-0.9894061,1.23885,-0.04722478,-1.054656,1.185638,
91,-0.2090576,-0.2854673,1.177278,-0.1845061,-0.2390059,1.149263,-0.06286466,-0.00970277,1.015261,-0.162231,0.1014999,0.9475892,-0.259928,0.005236857,0.9568419,-0.3813637,-0.1533602,0.94618,-0.2960232,-0.3320205,0.9142466,-0.2583822,-0.3791418,0.8971425,-0.0184515,-0.0275907,1.041136,0.1061201,-0.1813993,1.040422,0.05364984,0.05671128,1.035859,0.03615975,0.1360815,1.038084,-0.2859628,-0.2988266,1.208555,-0.05088107,-0.5581896,1.160355,0.1484941,-0.7781579,1.106949,0.1781639,-0.8341613,1.046439,-0.1753639,-0.3506402,1.187366,-0.1203698,-0.6923232,1.240372,-0.07372879,-0.9821079,1.272799,-0.05445661,-1.047799,1.218105,
99,-0.2090576,-0.2854673,1.177278,-0.1845061,-0.2390059,1.149263,-0.06286466,-0.00970277,1.015261,-0.162231,0.1014999,0.9475892,-0.259928,0.005236857,0.9568419,-0.3813637,-0.1533602,0.94618,-0.2960232,-0.3320205,0.9142466,-0.2583822,-0.3791418,0.8971425,-0.0184515,-0.0275907,1.041136,0.1061201,-0.1813993,1.040422,0.05364984,0.05671128,1.035859,0.03615975,0.1360815,1.038084,-0.2859628,-0.2988266,1.208555,-0.05088107,-0.5581896,1.160355,0.1484941,-0.7781579,1.106949,0.1781639,-0.8341613,1.046439,-0.1753639,-0.3506402,1.187366,-0.1203698,-0.6923232,1.240372,-0.07372879,-0.9821079,1.272799,-0.05445661,-1.047799,1.218105,
140,-0.2101699,-0.280687,1.177558,-0.1884816,-0.2322767,1.14854,-0.09979081,0.01334951,1.001936,-0.1690734,0.1327035,0.9195341,-0.2595496,0.005360323,0.9574397,-0.3823298,-0.1533032,0.9510541,-0.2964717,-0.3315738,0.918954,-0.2591457,-0.3787257,0.9012983,-0.0145361,-0.0251073,1.050451,0.1054685,-0.1831719,1.042603,0.05328647,0.05834679,1.04064,0.03589245,0.138853,1.043731,-0.2876201,-0.2964806,1.21124,-0.05260785,-0.5559828,1.165653,0.14679,-0.7761594,1.114453,0.1786714,-0.8312825,1.054257,-0.1739407,-0.3486245,1.188368,-0.1215024,-0.6896244,1.245846,-0.07701073,-0.9789481,1.282091,-0.0554836,-1.044262,1.227785,
151,-0.2101699,-0.280687,1.177558,-0.1884816,-0.2322767,1.14854,-0.09979081,0.01334951,1.001936,-0.1690734,0.1327035,0.9195341,-0.2595496,0.005360323,0.9574397,-0.3823298,-0.1533032,0.9510541,-0.2964717,-0.3315738,0.918954,-0.2591457,-0.3787257,0.9012983,-0.0145361,-0.0251073,1.050451,0.1054685,-0.1831719,1.042603,0.05328647,0.05834679,1.04064,0.03589245,0.138853,1.043731,-0.2876201,-0.2964806,1.21124,-0.05260785,-0.5559828,1.165653,0.14679,-0.7761594,1.114453,0.1786714,-0.8312825,1.054257,-0.1739407,-0.3486245,1.188368,-0.1215024,-0.6896244,1.245846,-0.07701073,-0.9789481,1.282091,-0.0554836,-1.044262,1.227785,
211,-0.2114157,-0.2762541,1.180192,-0.1910715,-0.2277905,1.150612,-0.1007785,0.01417117,1.003191,-0.133218,0.1366099,0.9084747,-0.2544767,0.006187304,0.9633595,-0.384403,-0.1521457,0.960151,-0.2981104,-0.3298495,0.9261382,-0.2602786,-0.3766873,0.9087625,-0.009858434,-0.02426866,1.062738,0.1055152,-0.1861322,1.046437,0.05267759,0.05953763,1.046568,0.03506503,0.1414276,1.050357,-0.2881492,-0.2935012,1.213948,-0.05281119,-0.5535475,1.175019,0.1468082,-0.774125,1.129475,0.1797906,-0.8299664,1.070544,-0.1735621,-0.3447734,1.193598,-0.1224988,-0.6858721,1.251786,-0.07918575,-0.9752002,1.288619,-0.05668532,-1.040958,1.235247,
218,-0.2114157,-0.2762541,1.180192,-0.1910715,-0.2277905,1.150612,-0.1007785,0.01417117,1.003191,-0.133218,0.1366099,0.9084747,-0.2544767,0.006187304,0.9633595,-0.384403,-0.1521457,0.960151,-0.2981104,-0.3298495,0.9261382,-0.2602786,-0.3766873,0.9087625,-0.009858434,-0.02426866,1.062738,0.1055152,-0.1861322,1.046437,0.05267759,0.05953763,1.046568,0.03506503,0.1414276,1.050357,-0.2881492,-0.2935012,1.213948,-0.05281119,-0.5535475,1.175019,0.1468082,-0.774125,1.129475,0.1797906,-0.8299664,1.070544,-0.1735621,-0.3447734,1.193598,-0.1224988,-0.6858721,1.251786,-0.07918575,-0.9752002,1.288619,-0.05668532,-1.040958,1.235247,
241,-0.2139526,-0.267577,1.185889,-0.1960577,-0.2181496,1.155984,-0.1128601,0.02625044,1.010038,-0.06214054,0.1353691,0.9094784,-0.241474,0.0106415,0.9798195,-0.3853689,-0.149484,0.9737028,-0.3132075,-0.3345012,0.954233,-0.2595279,-0.3936329,0.925854,-0.004703867,-0.02341871,1.076795,0.1044815,-0.189502,1.053563,0.09447812,0.002995118,1.090821,0.09114365,0.06716083,1.106984,-0.2868773,-0.287178,1.21704,-0.04694098,-0.5435551,1.187076,0.1566451,-0.7610911,1.149135,0.1901693,-0.8162583,1.089871,-0.1762865,-0.3355414,1.204764,-0.1237825,-0.6776922,1.255384,-0.07923275,-0.9680072,1.285818,-0.05681226,-1.032761,1.231194,
249,-0.2139526,-0.267577,1.185889,-0.1960577,-0.2181496,1.155984,-0.1128601,0.02625044,1.010038,-0.06214054,0.1353691,0.9094784,-0.241474,0.0106415,0.9798195,-0.3853689,-0.149484,0.9737028,-0.3132075,-0.3345012,0.954233,-0.2595279,-0.3936329,0.925854,-0.004703867,-0.02341871,1.076795,0.1044815,-0.189502,1.053563,0.09447812,0.002995118,1.090821,0.09114365,0.06716083,1.106984,-0.2868773,-0.287178,1.21704,-0.04694098,-0.5435551,1.187076,0.1566451,-0.7610911,1.149135,0.1901693,-0.8162583,1.089871,-0.1762865,-0.3355414,1.204764,-0.1237825,-0.6776922,1.255384,-0.07923275,-0.9680072,1.285818,-0.05681226,-1.032761,1.231194,
