Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
0,0.008925508,-0.1763222,1.514625,-0.00497756,-0.1166919,1.541284,-0.008021728,0.1966497,1.531228,0.0385716,0.3753362,1.42127,-0.1550845,0.1052282,1.484783,-0.2249007,-0.08830413,1.394743,-0.01570629,0.03705414,1.360422,0.05402519,0.07884023,1.353015,0.1566837,0.1086923,1.616161,0.3130427,-0.01115157,1.520442,0.1823675,0.04972625,1.398886,0.1490134,0.01885165,1.354235,-0.05788904,-0.2504604,1.486548,-0.1113502,-0.6635128,1.385478,-0.1519807,-0.9774327,1.29411,-0.1249083,-1.008115,1.20982,0.08240666,-0.2489016,1.531411,0.1284494,-0.6699857,1.475102,0.1634419,-0.9900095,1.417752,0.1997527,-1.021773,1.337429,
24,0.008925508,-0.1763222,1.514625,-0.00497756,-0.1166919,1.541284,-0.008021728,0.1966497,1.531228,0.0385716,0.3753362,1.42127,-0.1550845,0.1052282,1.484783,-0.2249007,-0.08830413,1.394743,-0.01570629,0.03705414,1.360422,0.05402519,0.07884023,1.353015,0.1566837,0.1086923,1.616161,0.3130427,-0.01115157,1.520442,0.1823675,0.04972625,1.398886,0.1490134,0.01885165,1.354235,-0.05788904,-0.2504604,1.486548,-0.1113502,-0.6635128,1.385478,-0.1519807,-0.9774327,1.29411,-0.1249083,-1.008115,1.20982,0.08240666,-0.2489016,1.531411,0.1284494,-0.6699857,1.475102,0.1634419,-0.9900095,1.417752,0.1997527,-1.021773,1.337429,
54,0.007553027,-0.1764041,1.517268,-0.005632251,-0.1167766,1.544283,-0.008474024,0.1966147,1.534432,0.03642467,0.3760583,1.424537,-0.1590642,0.1068468,1.494396,-0.2350784,-0.08605953,1.406223,-0.07556601,-0.004640639,1.360407,0.001301858,0.0619173,1.340371,0.1563951,0.1149788,1.619707,0.3037413,-0.00961699,1.502249,0.1619362,0.07678825,1.415076,0.1146679,0.10559,1.390054,-0.06058554,-0.2518169,1.491122,-0.116049,-0.6671879,1.396827,-0.1582013,-0.9828698,1.3106,-0.1329099,-1.01428,1.225746,0.08162666,-0.2486044,1.532615,0.1289104,-0.6706415,1.475638,0.1648461,-0.9913898,1.417773,0.1996685,-1.023177,1.336512,
64,0.007553027,-0.1764041,1.517268,-0.005632251,-0.1167766,1.544283,-0.008474024,0.1966147,1.534432,0.03642467,0.3760583,1.424537,-0.1590642,0.1068468,1.494396,-0.2350784,-0.08605953,1.406223,-0.07556601,-0.004640639,1.360407,0.001301858,0.0619173,1.340371,0.1563951,0.1149788,1.619707,0.3037413,-0.00961699,1.502249,0.1619362,0.07678825,1.415076,0.1146679,0.10559,1.390054,-0.06058554,-0.2518169,1.491122,-0.116049,-0.6671879,1.396827,-0.1582013,-0.9828698,1.3106,-0.1329099,-1.01428,1.225746,0.08162666,-0.2486044,1.532615,0.1289104,-0.6706415,1.475638,0.1648461,-0.9913898,1.417773,0.1996685,-1.023177,1.336512,
79,0.002005761,-0.1766484,1.526122,-0.008915845,-0.1173919,1.554833,-0.01223463,0.1956006,1.547131,0.02927675,0.3775538,1.434746,-0.1701402,0.1111987,1.518855,-0.2532921,-0.08090184,1.430023,-0.05994385,0.0312576,1.366316,-0.02194281,0.06123121,1.353175,0.1565595,0.1153101,1.619665,0.3006323,-0.0008711319,1.491547,0.1396973,0.0381413,1.402384,0.08605222,0.05114545,1.376702,-0.07002801,-0.2532061,1.504427,-0.131103,-0.6723237,1.426793,-0.17752,-0.9908531,1.353215,-0.1588479,-1.02353,1.266764,0.07879828,-0.2495109,1.536394,0.1281155,-0.6725966,1.476859,0.1655965,-0.9941417,1.417036,0.1946509,-1.025647,1.333051,
89,0.002005761,-0.1766484,1.526122,-0.008915845,-0.1173919,1.554833,-0.01223463,0.1956006,1.547131,0.02927675,0.3775538,1.434746,-0.1701402,0.1111987,1.518855,-0.2532921,-0.08090184,1.430023,-0.05994385,0.0312576,1.366316,-0.02194281,0.06123121,1.353175,0.1565595,0.1153101,1.619665,0.3006323,-0.0008711319,1.491547,0.1396973,0.0381413,1.402384,0.08605222,0.05114545,1.376702,-0.07002801,-0.2532061,1.504427,-0.131103,-0.6723237,1.426793,-0.17752,-0.9908531,1.353215,-0.1588479,-1.02353,1.266764,0.07879828,-0.2495109,1.536394,0.1281155,-0.6725966,1.476859,0.1655965,-0.9941417,1.417036,0.1946509,-1.025647,1.333051,
110,-0.005017708,-0.1785893,1.537717,-0.01351757,-0.1194225,1.568484,-0.01527137,0.1953055,1.563535,0.02427538,0.3780718,1.448061,-0.1776872,0.1155209,1.54209,-0.2676326,-0.08508258,1.448662,-0.06118593,0.03622776,1.37317,-0.02719856,0.06266323,1.362794,0.1565999,0.1153955,1.6198,0.300558,0.004127203,1.486149,0.130869,0.07112573,1.405715,0.07430597,0.09345857,1.382955,-0.0794369,-0.2553937,1.518031,-0.1332502,-0.6803136,1.447969,-0.1741483,-1.003253,1.380103,-0.1602907,-1.036218,1.291997,0.07315869,-0.2528115,1.543483,0.1281528,-0.6783304,1.479219,0.1699483,-1.001725,1.415759,0.1940928,-1.032734,1.329174,
116,-0.005017708,-0.1785893,1.537717,-0.01351757,-0.1194225,1.568484,-0.01527137,0.1953055,1.563535,0.02427538,0.3780718,1.448061,-0.1776872,0.1155209,1.54209,-0.2676326,-0.08508258,1.448662,-0.06118593,0.03622776,1.37317,-0.02719856,0.06266323,1.362794,0.1565999,0.1153955,1.6198,0.300558,0.004127203,1.486149,0.130869,0.07112573,1.405715,0.07430597,0.09345857,1.382955,-0.0794369,-0.2553937,1.518031,-0.1332502,-0.6803136,1.447969,-0.1741483,-1.003253,1.380103,-0.1602907,-1.036218,1.291997,0.07315869,-0.2528115,1.543483,0.1281528,-0.6783304,1.479219,0.1699483,-1.001725,1.415759,0.1940928,-1.032734,1.329174,
152,-0.01119854,-0.1806805,1.5495,-0.01694773,-0.1212052,1.581416,-0.01669936,0.1946997,1.574934,0.01884689,0.3776754,1.46353,-0.1830725,0.1175029,1.564968,-0.2747772,-0.08251279,1.471228,-0.07016497,0.03934333,1.390086,-0.03785937,0.06063314,1.379739,0.1563619,0.1153502,1.619539,0.3016491,0.009100369,1.475604,0.1276214,0.07223047,1.407428,0.06961212,0.09327384,1.388764,-0.08721545,-0.257149,1.53212,-0.1473155,-0.6867019,1.484204,-0.1929915,-1.013162,1.433132,-0.1855155,-1.048887,1.344616,0.06671271,-0.2562831,1.552486,0.1204125,-0.6839482,1.480108,0.1612243,-1.008974,1.410445,0.1796027,-1.039839,1.321694,
161,-0.01119854,-0.1806805,1.5495,-0.01694773,-0.1212052,1.581416,-0.01669936,0.1946997,1.574934,0.01884689,0.3776754,1.46353,-0.1830725,0.1175029,1.564968,-0.2747772,-0.08251279,1.471228,-0.07016497,0.03934333,1.390086,-0.03785937,0.06063314,1.379739,0.1563619,0.1153502,1.619539,0.3016491,0.009100369,1.475604,0.1276214,0.07223047,1.407428,0.06961212,0.09327384,1.388764,-0.08721545,-0.257149,1.53212,-0.1473155,-0.6867019,1.484204,-0.1929915,-1.013162,1.433132,-0.1855155,-1.048887,1.344616,0.06671271,-0.2562831,1.552486,0.1204125,-0.6839482,1.480108,0.1612243,-1.008974,1.410445,0.1796027,-1.039839,1.321694,
