Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
0,-0.031347,-0.1954495,1.376964,-0.03495386,-0.1351467,1.371654,-0.05298816,0.1663677,1.359339,0.001009095,0.3694584,1.273001,-0.165256,0.06925669,1.309281,-0.2311647,-0.1443758,1.237271,-0.164551,-0.3172804,1.126083,-0.1357847,-0.3729653,1.087894,0.1090224,0.09035674,1.47373,0.1237549,-0.1448321,1.5729,0.1331312,-0.3401132,1.638106,0.1362566,-0.4052069,1.663723,-0.08895415,-0.2688364,1.348123,0.002696715,-0.6876109,1.289209,0.07235137,-1.005879,1.230426,0.121847,-1.038109,1.156168,0.03447112,-0.2593414,1.408074,0.1071667,-0.6724769,1.296225,0.1624153,-0.9864599,1.197212,0.2094389,-1.015717,1.12017,
52,-0.05397825,-0.2020016,1.415819,-0.06090511,-0.1422239,1.420819,-0.07253721,0.1590735,1.412987,-0.02793564,0.3632656,1.319861,-0.2027048,0.06439012,1.370535,-0.2673068,-0.1507912,1.30147,-0.2078366,-0.3226376,1.178694,-0.1669845,-0.3750175,1.121795,0.09054471,0.0853701,1.510541,0.1136147,-0.1617893,1.605098,0.1042743,-0.3584667,1.674938,0.1011609,-0.4240258,1.702108,-0.116757,-0.2772479,1.389749,0.006791182,-0.6855273,1.308902,0.1006878,-0.9958197,1.233422,0.1452374,-1.023758,1.154219,0.01559067,-0.2670183,1.439467,0.09596208,-0.6744877,1.308421,0.1570443,-0.9841644,1.194789,0.1976032,-1.01029,1.11287,
63,-0.06198847,-0.2021211,1.433078,-0.0687702,-0.1423969,1.439208,-0.07916281,0.1591424,1.434179,-0.04334572,0.363071,1.343324,-0.2133791,0.06491179,1.39104,-0.2817126,-0.1546395,1.325316,-0.2230967,-0.3263254,1.199767,-0.1829814,-0.3769784,1.140715,0.0856277,0.08481406,1.530261,0.1058967,-0.1645333,1.628282,0.1034574,-0.3708892,1.67396,0.1026443,-0.4396746,1.693079,-0.1261354,-0.2779814,1.407182,-0.008451469,-0.6878045,1.323172,0.08098828,-0.99927,1.245276,0.1244845,-1.026945,1.165309,0.008972089,-0.2685411,1.453987,0.08929789,-0.674191,1.31569,0.1503455,-0.9824849,1.196537,0.1901145,-1.00765,1.113847,
69,-0.06198847,-0.2021211,1.433078,-0.0687702,-0.1423969,1.439208,-0.07916281,0.1591424,1.434179,-0.04334572,0.363071,1.343324,-0.2133791,0.06491179,1.39104,-0.2817126,-0.1546395,1.325316,-0.2230967,-0.3263254,1.199767,-0.1829814,-0.3769784,1.140715,0.0856277,0.08481406,1.530261,0.1058967,-0.1645333,1.628282,0.1034574,-0.3708892,1.67396,0.1026443,-0.4396746,1.693079,-0.1261354,-0.2779814,1.407182,-0.008451469,-0.6878045,1.323172,0.08098828,-0.99927,1.245276,0.1244845,-1.026945,1.165309,0.008972089,-0.2685411,1.453987,0.08929789,-0.674191,1.31569,0.1503455,-0.9824849,1.196537,0.1901145,-1.00765,1.113847,
137,-0.07626303,-0.198931,1.46701,-0.08418867,-0.1391988,1.478469,-0.09778336,0.1662092,1.482363,-0.06624727,0.3710171,1.388618,-0.2396811,0.07281389,1.444488,-0.3105345,-0.1512924,1.379436,-0.2473578,-0.3330522,1.240054,-0.2142099,-0.3932266,1.185415,0.06902009,0.09050559,1.564377,0.09834643,-0.1661986,1.656158,0.104882,-0.3769459,1.693994,0.1070605,-0.447195,1.71051,-0.1412819,-0.2751865,1.440904,-0.07504385,-0.6985381,1.362321,-0.02470291,-1.020285,1.28851,0.01082329,-1.049533,1.204928,-0.0027812,-0.2669732,1.482569,0.06759708,-0.6679184,1.321273,0.1210846,-0.9726368,1.1846,0.1551283,-0.9943374,1.09815,
143,-0.07626303,-0.198931,1.46701,-0.08418867,-0.1391988,1.478469,-0.09778336,0.1662092,1.482363,-0.06624727,0.3710171,1.388618,-0.2396811,0.07281389,1.444488,-0.3105345,-0.1512924,1.379436,-0.2473578,-0.3330522,1.240054,-0.2142099,-0.3932266,1.185415,0.06902009,0.09050559,1.564377,0.09834643,-0.1661986,1.656158,0.104882,-0.3769459,1.693994,0.1070605,-0.447195,1.71051,-0.1412819,-0.2751865,1.440904,-0.07504385,-0.6985381,1.362321,-0.02470291,-1.020285,1.28851,0.01082329,-1.049533,1.204928,-0.0027812,-0.2669732,1.482569,0.06759708,-0.6679184,1.321273,0.1210846,-0.9726368,1.1846,0.1551283,-0.9943374,1.09815,
165,-0.08336315,-0.1947799,1.482081,-0.09147786,-0.1349917,1.497411,-0.1034882,0.174397,1.507225,-0.07511663,0.3800197,1.413691,-0.2535475,0.08494943,1.472107,-0.3192608,-0.1443555,1.40754,-0.2592193,-0.3377205,1.262273,-0.2301896,-0.4033561,1.211356,0.06372703,0.09499705,1.581429,0.0963302,-0.1649189,1.671939,0.106011,-0.3805622,1.688416,0.05763597,-0.3968973,1.616748,-0.1506187,-0.2703961,1.45716,-0.1029726,-0.6958436,1.369642,-0.06676149,-1.019184,1.289004,-0.03556685,-1.047566,1.203156,-0.008144652,-0.2649558,1.493359,0.04132039,-0.6707332,1.333577,0.07891382,-0.9791241,1.198019,0.1089201,-1.000527,1.109758,
172,-0.08336315,-0.1947799,1.482081,-0.09147786,-0.1349917,1.497411,-0.1034882,0.174397,1.507225,-0.07511663,0.3800197,1.413691,-0.2535475,0.08494943,1.472107,-0.3192608,-0.1443555,1.40754,-0.2592193,-0.3377205,1.262273,-0.2301896,-0.4033561,1.211356,0.06372703,0.09499705,1.581429,0.0963302,-0.1649189,1.671939,0.106011,-0.3805622,1.688416,0.05763597,-0.3968973,1.616748,-0.1506187,-0.2703961,1.45716,-0.1029726,-0.6958436,1.369642,-0.06676149,-1.019184,1.289004,-0.03556685,-1.047566,1.203156,-0.008144652,-0.2649558,1.493359,0.04132039,-0.6707332,1.333577,0.07891382,-0.9791241,1.198019,0.1089201,-1.000527,1.109758,
196,-0.09037647,-0.1910836,1.495635,-0.09877252,-0.1308844,1.514549,-0.108105,0.1835973,1.526037,-0.08228117,0.3892906,1.437626,-0.2602533,0.09220608,1.492825,-0.3275055,-0.1368842,1.4338,-0.2742603,-0.3410774,1.285755,-0.2541745,-0.4133293,1.244723,0.0581473,0.1014508,1.597602,0.09654273,-0.1645016,1.684898,0.1084529,-0.3826026,1.68535,0.1184797,-0.4438175,1.697363,-0.1585503,-0.2665132,1.470681,-0.2073296,-0.6945528,1.414396,-0.2444019,-1.019863,1.357444,-0.2230652,-1.054636,1.271337,-0.01522407,-0.2618262,1.5051,0.02864297,-0.6651969,1.341839,0.06198193,-0.9717586,1.203585,0.09039411,-0.9923601,1.115001,
214,-0.09037647,-0.1910836,1.495635,-0.09877252,-0.1308844,1.514549,-0.108105,0.1835973,1.526037,-0.08228117,0.3892906,1.437626,-0.2602533,0.09220608,1.492825,-0.3275055,-0.1368842,1.4338,-0.2742603,-0.3410774,1.285755,-0.2541745,-0.4133293,1.244723,0.0581473,0.1014508,1.597602,0.09654273,-0.1645016,1.684898,0.1084529,-0.3826026,1.68535,0.1184797,-0.4438175,1.697363,-0.1585503,-0.2665132,1.470681,-0.2073296,-0.6945528,1.414396,-0.2444019,-1.019863,1.357444,-0.2230652,-1.054636,1.271337,-0.01522407,-0.2618262,1.5051,0.02864297,-0.6651969,1.341839,0.06198193,-0.9717586,1.203585,0.09039411,-0.9923601,1.115001,
238,-0.09578992,-0.1898854,1.505275,-0.1046108,-0.1294005,1.528239,-0.1146283,0.1928236,1.546003,-0.08776949,0.3987777,1.461362,-0.2665803,0.09960824,1.515441,-0.3343641,-0.1299292,1.458374,-0.2923032,-0.3426669,1.313668,-0.2743011,-0.4118087,1.269227,0.05316902,0.1078429,1.611061,0.096608,-0.1631609,1.692899,0.1137427,-0.3822433,1.684254,0.1192345,-0.4438933,1.690323,-0.1643689,-0.2649873,1.48076,-0.218594,-0.6915734,1.428861,-0.2598051,-1.015779,1.375167,-0.2415154,-1.050277,1.288548,-0.02012058,-0.2605921,1.511796,0.03112324,-0.6632594,1.352459,0.07006855,-0.9692866,1.217112,0.09694654,-0.9886733,1.128065,
243,-0.09578992,-0.1898854,1.505275,-0.1046108,-0.1294005,1.528239,-0.1146283,0.1928236,1.546003,-0.08776949,0.3987777,1.461362,-0.2665803,0.09960824,1.515441,-0.3343641,-0.1299292,1.458374,-0.2923032,-0.3426669,1.313668,-0.2743011,-0.4118087,1.269227,0.05316902,0.1078429,1.611061,0.096608,-0.1631609,1.692899,0.1137427,-0.3822433,1.684254,0.1192345,-0.4438933,1.690323,-0.1643689,-0.2649873,1.48076,-0.218594,-0.6915734,1.428861,-0.2598051,-1.015779,1.375167,-0.2415154,-1.050277,1.288548,-0.02012058,-0.2605921,1.511796,0.03112324,-0.6632594,1.352459,0.07006855,-0.9692866,1.217112,0.09694654,-0.9886733,1.128065,
